,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,4.0,6.0,,1.0,0.0,-1.0
19,65,6.0,4.0,12.0,1.0,-1.0,0.0
20,66,0.0,6.0,20.0,0.0,0.0,0.0
21,67,-1.0,1.0,-19.0,-2.0,1.0,0.0
22,68,-5.0,0.0,,3.0,2.0,-1.0
23,69,-1.0,3.0,,-2.0,-1.0,1.0
24,70,1.0,3.0,6.0,-4.0,-1.0,1.0
25,71,0.0,4.0,2.0,-7.0,-1.0,1.0
26,72,-3.0,10.0,-12.0,-7.0,-2.0,1.0
27,73,-3.0,15.0,,-12.0,-2.0,1.0
28,74,-6.0,10.0,-14.0,-14.0,-2.0,2.0
29,75,-13.0,8.0,,-21.0,-2.0,1.0
30,76,-9.0,16.0,,-24.0,-8.0,4.0
31,77,-16.0,17.0,0.0,-29.0,-13.0,7.0
32,78,-18.0,24.0,6.0,-35.0,-20.0,10.0
33,79,-14.0,23.0,,-41.0,-24.0,10.0
34,80,-25.0,13.0,,-47.0,-26.0,11.0
35,81,-51.0,5.0,22.0,-50.0,-26.0,10.0
36,82,-61.0,-12.0,,-59.0,-29.0,
37,83,-46.0,-7.0,,-65.0,-45.0,17.0
38,84,-74.0,-22.0,-28.0,-71.0,-60.0,24.0
39,85,-77.0,-23.0,-17.0,-77.0,-67.0,27.0
40,86,-78.0,-25.0,-24.0,-79.0,-70.0,28.0
41,87,-79.0,-23.0,-14.0,-81.0,-71.0,29.0
42,88,-84.0,-29.0,-12.0,-80.0,-61.0,
43,89,-86.0,-39.0,14.0,-84.0,-58.0,
44,90,-76.0,-26.0,,-80.0,-73.0,26.0
45,91,-75.0,-24.0,-17.0,-79.0,-73.0,27.0
46,92,-77.0,-26.0,-19.0,-80.0,-73.0,28.0
47,93,-77.0,-25.0,-24.0,-83.0,-73.0,29.0
48,94,-77.0,-24.0,-20.0,-83.0,-73.0,29.0
49,95,-83.0,-28.0,-27.0,-81.0,-61.0,
50,96,-84.0,-38.0,6.0,-84.0,-55.0,
51,97,-75.0,-25.0,,-81.0,-73.0,26.0
52,98,-73.0,-21.0,0.0,-78.0,-73.0,27.0
53,99,-75.0,-25.0,-11.0,-79.0,-73.0,28.0
54,100,-74.0,-22.0,-33.0,-81.0,-74.0,28.0
55,101,-77.0,-23.0,-6.0,-83.0,-77.0,30.0
56,102,-81.0,-23.0,-8.0,-78.0,-60.0,
57,103,-85.0,-39.0,4.0,-82.0,-58.0,
58,104,-78.0,-33.0,,-84.0,-82.0,29.0
59,105,-73.0,-23.0,-4.0,-79.0,-73.0,27.0
60,106,-73.0,-23.0,9.0,-79.0,-72.0,28.0
61,107,-73.0,-24.0,-8.0,-80.0,-72.0,28.0
62,108,-75.0,-23.0,-10.0,-82.0,-72.0,29.0
63,109,-80.0,-24.0,-2.0,-78.0,-55.0,
64,110,-81.0,-32.0,29.0,-82.0,-51.0,
65,111,-72.0,-23.0,,-80.0,-70.0,25.0
66,112,-72.0,-21.0,9.0,-78.0,-70.0,26.0
67,113,-74.0,-22.0,12.0,-78.0,-70.0,27.0
68,114,-72.0,-21.0,5.0,-80.0,-69.0,27.0
69,115,-75.0,-20.0,22.0,-81.0,-69.0,27.0
70,116,-79.0,-21.0,14.0,-76.0,-55.0,
71,117,-81.0,-31.0,11.0,-80.0,-50.0,
72,118,-70.0,-23.0,,-79.0,-69.0,25.0
73,119,-71.0,-23.0,-12.0,-75.0,-69.0,24.0
74,120,-73.0,-24.0,-28.0,-76.0,-69.0,27.0
75,121,-73.0,-19.0,-9.0,-79.0,-68.0,27.0
76,122,-74.0,-20.0,20.0,-80.0,-69.0,27.0
77,123,-78.0,-22.0,20.0,-76.0,-52.0,
