,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5,52,-2.0,0.0,,,-3.0,
6,53,-20.0,-15.0,,,,
7,55,,9.0,,,3.0,
8,56,,0.0,,,1.0,
9,57,,-2.0,,,1.0,
10,58,,4.0,,,-1.0,
11,59,-15.0,0.0,,,3.0,
12,60,8.0,2.0,,,,
13,62,,4.0,,,-1.0,
14,63,,0.0,,,0.0,
15,64,,4.0,,,1.0,
16,65,,8.0,,,-3.0,
17,66,13.0,2.0,,,0.0,
18,67,4.0,4.0,,,,
19,69,,,,,0.0,
20,70,,9.0,,,-1.0,
21,71,,6.0,,,-1.0,
22,72,-12.0,12.0,,,0.0,
23,73,6.0,11.0,,,0.0,
24,74,6.0,9.0,,,,
25,76,,,,,-6.0,
26,77,,,,,-11.0,
27,78,,12.0,,,-7.0,
28,79,-35.0,14.0,,,-15.0,
29,80,-30.0,7.0,,,-15.0,
30,81,-65.0,-2.0,,,,
31,83,-54.0,-7.0,,,-33.0,
32,84,-82.0,-32.0,,,-56.0,
33,85,,-38.0,,,-61.0,
34,86,-84.0,-33.0,,,-62.0,
35,87,-85.0,-39.0,,,-61.0,
36,88,,-49.0,,,,
37,89,,-40.0,,,,
38,90,,-39.0,,,-64.0,
39,91,-84.0,-43.0,,,-63.0,
40,92,,-40.0,,,-64.0,
41,93,,-39.0,,,-66.0,
42,94,-83.0,-35.0,,,-64.0,
43,95,,-44.0,,,,
44,96,,-40.0,,,,
45,97,,,,,-62.0,
46,98,,,,,-64.0,
47,99,,,,,-62.0,
48,100,,,,,-66.0,
49,101,,,,,-64.0,
50,104,,,,,-71.0,
51,105,,,,,-67.0,
52,106,,,,,-65.0,
53,107,,,,,-65.0,
54,108,,,,,-64.0,
55,111,,,,,-55.0,
56,112,,,,,-60.0,
57,113,,,,,-60.0,
58,114,,,,,-62.0,
59,115,,,,,-58.0,
60,118,,,,,-62.0,
61,119,,,,,-61.0,
62,120,,,,,-60.0,
63,121,,,,,-61.0,
64,122,,,,,-61.0,
