,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,12.0,8.0,,0.0,1.0,0.0
19,65,6.0,8.0,,-2.0,0.0,0.0
20,66,3.0,4.0,,-1.0,1.0,0.0
21,67,1.0,2.0,-22.0,0.0,1.0,0.0
22,68,5.0,1.0,9.0,14.0,1.0,0.0
23,69,1.0,2.0,,2.0,0.0,0.0
24,70,-4.0,3.0,,-8.0,0.0,1.0
25,71,5.0,4.0,,-6.0,0.0,2.0
26,72,-4.0,11.0,-16.0,-10.0,-2.0,2.0
27,73,1.0,12.0,,-7.0,-3.0,1.0
28,74,-3.0,12.0,-7.0,-9.0,0.0,2.0
29,75,2.0,12.0,24.0,-6.0,0.0,1.0
30,76,-4.0,16.0,,-11.0,-9.0,4.0
31,77,-12.0,20.0,,-25.0,-13.0,7.0
32,78,-15.0,21.0,,-32.0,-19.0,9.0
33,79,-16.0,25.0,,-32.0,-24.0,10.0
34,80,-20.0,11.0,,-33.0,-24.0,11.0
35,81,-41.0,9.0,-6.0,-39.0,-18.0,10.0
36,82,-43.0,-8.0,23.0,-25.0,-23.0,
37,83,-37.0,-6.0,,-45.0,-41.0,15.0
38,84,-68.0,-18.0,,-59.0,-56.0,23.0
39,85,-72.0,-21.0,-25.0,-65.0,-64.0,25.0
40,86,-74.0,-25.0,-27.0,-69.0,-67.0,26.0
41,87,-74.0,-25.0,-33.0,-67.0,-66.0,27.0
42,88,-80.0,-31.0,-38.0,-67.0,-54.0,
43,89,-78.0,-38.0,-26.0,-56.0,-47.0,
44,90,-71.0,-28.0,,-62.0,-68.0,25.0
45,91,-70.0,-25.0,,-65.0,-69.0,26.0
46,92,-71.0,-25.0,-16.0,-65.0,-68.0,27.0
47,93,-74.0,-26.0,-25.0,-68.0,-69.0,27.0
48,94,-72.0,-29.0,-31.0,-64.0,-67.0,28.0
49,95,-79.0,-29.0,-38.0,-61.0,-52.0,
50,96,-75.0,-38.0,-21.0,-52.0,-45.0,
51,97,-71.0,-28.0,,-61.0,-69.0,25.0
52,98,-70.0,-24.0,,-60.0,-69.0,26.0
53,99,-69.0,-25.0,-9.0,-60.0,-69.0,26.0
54,100,-71.0,-23.0,-20.0,-64.0,-70.0,27.0
55,101,-73.0,-26.0,-10.0,-61.0,-73.0,29.0
56,102,-78.0,-26.0,-37.0,-59.0,-51.0,
57,103,-75.0,-39.0,-26.0,-49.0,-48.0,
58,104,-73.0,-35.0,,-61.0,-77.0,28.0
59,105,-68.0,-25.0,,-63.0,-69.0,26.0
60,106,-66.0,-23.0,,-58.0,-68.0,26.0
61,107,-70.0,-27.0,-14.0,-66.0,-69.0,27.0
62,108,-70.0,-27.0,-21.0,-62.0,-67.0,28.0
63,109,-77.0,-30.0,-24.0,-56.0,-47.0,
64,110,-72.0,-35.0,-10.0,-45.0,-43.0,
65,111,-67.0,-27.0,,-54.0,-67.0,24.0
66,112,-68.0,-24.0,,-56.0,-66.0,25.0
67,113,-67.0,-27.0,,-57.0,-66.0,25.0
68,114,-68.0,-26.0,,-58.0,-67.0,26.0
69,115,-70.0,-25.0,12.0,-57.0,-66.0,26.0
70,116,-75.0,-27.0,-12.0,-52.0,-46.0,
71,117,-68.0,-32.0,-8.0,-42.0,-42.0,
72,118,-64.0,-27.0,,-52.0,-65.0,24.0
73,119,-66.0,-25.0,,-58.0,-65.0,23.0
74,120,-67.0,-26.0,-21.0,-61.0,-65.0,26.0
75,121,-69.0,-24.0,-12.0,-60.0,-66.0,26.0
76,122,-69.0,-26.0,8.0,-57.0,-64.0,26.0
77,123,-73.0,-25.0,-9.0,-51.0,-44.0,
