,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,9.0,4.0,,6.0,2.0,0.0
19,65,4.0,6.0,,4.0,2.0,0.0
20,66,2.0,5.0,,7.0,2.0,0.0
21,67,0.0,4.0,,-1.0,3.0,0.0
22,68,1.0,1.0,,6.0,4.0,-1.0
23,69,2.0,4.0,,1.0,1.0,1.0
24,70,0.0,3.0,,-3.0,1.0,1.0
25,71,1.0,5.0,,-1.0,1.0,1.0
26,72,-2.0,9.0,,-5.0,-1.0,1.0
27,73,-1.0,11.0,,-2.0,-2.0,2.0
28,74,-7.0,12.0,,-9.0,0.0,2.0
29,75,-2.0,8.0,,-10.0,-3.0,1.0
30,76,-4.0,13.0,,-9.0,-7.0,4.0
31,77,-12.0,14.0,,-22.0,-10.0,6.0
32,78,-15.0,18.0,,-29.0,-18.0,9.0
33,79,-13.0,21.0,,-30.0,-21.0,9.0
34,80,-20.0,9.0,,-29.0,-23.0,10.0
35,81,-39.0,8.0,,-39.0,-19.0,9.0
36,82,-44.0,-8.0,,-25.0,-21.0,6.0
37,83,-37.0,-9.0,,-43.0,-37.0,15.0
38,84,-67.0,-21.0,,-58.0,-53.0,22.0
39,85,-71.0,-23.0,,-65.0,-62.0,25.0
40,86,-72.0,-27.0,,-65.0,-65.0,26.0
41,87,-72.0,-26.0,,-65.0,-66.0,27.0
42,88,-78.0,-29.0,,-64.0,-53.0,19.0
43,89,-78.0,-37.0,,-56.0,-50.0,13.0
44,90,-68.0,-28.0,,-62.0,-67.0,25.0
45,91,-67.0,-26.0,,-62.0,-68.0,25.0
46,92,-68.0,-24.0,,-65.0,-67.0,26.0
47,93,-69.0,-26.0,,-66.0,-68.0,27.0
48,94,-71.0,-25.0,,-64.0,-67.0,28.0
49,95,-76.0,-27.0,,-61.0,-53.0,18.0
50,96,-75.0,-34.0,,-54.0,-48.0,13.0
51,97,-68.0,-28.0,,-62.0,-68.0,25.0
52,98,-66.0,-24.0,,-58.0,-68.0,25.0
53,99,-66.0,-22.0,,-62.0,-68.0,26.0
54,100,-65.0,-20.0,,-62.0,-68.0,26.0
55,101,-68.0,-25.0,,-63.0,-73.0,28.0
56,102,-73.0,-21.0,,-54.0,-54.0,18.0
57,103,-76.0,-37.0,,-44.0,-49.0,13.0
58,104,-71.0,-35.0,,-64.0,-78.0,28.0
59,105,-63.0,-24.0,,-60.0,-67.0,25.0
60,106,-64.0,-23.0,,-57.0,-67.0,26.0
61,107,-65.0,-25.0,,-60.0,-67.0,26.0
62,108,-66.0,-23.0,,-57.0,-66.0,27.0
63,109,-71.0,-23.0,,-53.0,-48.0,17.0
64,110,-71.0,-30.0,,-43.0,-42.0,12.0
65,111,-61.0,-24.0,,-56.0,-65.0,24.0
66,112,-61.0,-23.0,,-56.0,-65.0,24.0
67,113,-63.0,-23.0,,-58.0,-64.0,25.0
68,114,-61.0,-22.0,,-58.0,-65.0,25.0
69,115,-62.0,-20.0,,-56.0,-64.0,26.0
70,116,-70.0,-21.0,,-51.0,-46.0,16.0
71,117,-68.0,-28.0,,-45.0,-40.0,12.0
72,118,-59.0,-24.0,,-56.0,-64.0,24.0
73,119,-60.0,-24.0,,-57.0,-65.0,23.0
74,120,-62.0,-23.0,,-60.0,-64.0,26.0
75,121,-61.0,-18.0,,-58.0,-64.0,25.0
76,122,-63.0,-21.0,,-54.0,-62.0,25.0
77,123,-68.0,-20.0,,-48.0,-44.0,16.0
