,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,9.0,9.0,,8.0,-1.0,0.0
19,65,10.0,9.0,31.0,2.0,2.0,0.0
20,66,2.0,9.0,50.0,3.0,1.0,0.0
21,67,0.0,1.0,19.0,3.0,-1.0,
22,68,8.0,3.0,47.0,20.0,2.0,
23,69,4.0,6.0,,1.0,0.0,1.0
24,70,6.0,5.0,,2.0,-2.0,0.0
25,71,-4.0,3.0,16.0,-2.0,-1.0,1.0
26,72,-3.0,7.0,2.0,-6.0,-2.0,1.0
27,73,0.0,14.0,,4.0,-4.0,1.0
28,74,-4.0,11.0,38.0,-5.0,-3.0,
29,75,0.0,16.0,57.0,9.0,-3.0,
30,76,3.0,23.0,,-6.0,-6.0,3.0
31,77,-7.0,17.0,,-18.0,-12.0,5.0
32,78,-11.0,22.0,,-19.0,-15.0,7.0
33,79,-9.0,23.0,,-15.0,-18.0,7.0
34,80,-19.0,16.0,,-19.0,-18.0,9.0
35,81,-41.0,11.0,72.0,-30.0,-23.0,
36,82,-44.0,-6.0,,-10.0,-29.0,
37,83,-40.0,-3.0,,-38.0,-40.0,13.0
38,84,-74.0,-27.0,-17.0,-59.0,-56.0,20.0
39,85,-77.0,-25.0,-31.0,-63.0,-65.0,
40,86,-77.0,-29.0,-24.0,-65.0,-65.0,
41,87,-81.0,-30.0,-40.0,-63.0,-66.0,
42,88,-86.0,-37.0,-49.0,-68.0,-60.0,
43,89,-88.0,-42.0,-35.0,-62.0,-56.0,
44,90,-76.0,-30.0,-16.0,-64.0,-68.0,
45,91,-77.0,-30.0,-21.0,-64.0,-68.0,
46,92,-79.0,-30.0,-35.0,-67.0,-69.0,
47,93,-78.0,-32.0,-44.0,-72.0,-69.0,
48,94,-81.0,-31.0,-47.0,-68.0,-68.0,
49,95,-85.0,-39.0,-49.0,-67.0,-58.0,
50,96,-86.0,-43.0,-42.0,-54.0,-53.0,
51,97,-75.0,-30.0,-16.0,-62.0,-67.0,
52,98,-76.0,-30.0,-17.0,-61.0,-68.0,
53,99,-76.0,-31.0,-24.0,-61.0,-69.0,
54,100,-75.0,-25.0,-35.0,-61.0,-68.0,
55,101,-78.0,-32.0,-33.0,-64.0,-73.0,
56,102,-83.0,-34.0,-42.0,-62.0,-59.0,
57,103,-87.0,-46.0,-40.0,-53.0,-53.0,
58,104,-79.0,-36.0,-20.0,-64.0,-76.0,
59,105,-72.0,-28.0,-17.0,-61.0,-68.0,
60,106,-74.0,-28.0,-16.0,-61.0,-67.0,
61,107,-74.0,-28.0,-22.0,-63.0,-66.0,
62,108,-76.0,-28.0,-33.0,-61.0,-67.0,
63,109,-82.0,-35.0,-33.0,-60.0,-56.0,
64,110,-82.0,-34.0,-11.0,-45.0,-51.0,
65,111,-72.0,-27.0,-1.0,-56.0,-64.0,
66,112,-71.0,-25.0,4.0,-55.0,-66.0,
67,113,-72.0,-26.0,-6.0,-57.0,-64.0,
68,114,-71.0,-25.0,-18.0,-58.0,-64.0,
69,115,-75.0,-22.0,-12.0,-56.0,-65.0,
70,116,-80.0,-28.0,-21.0,-57.0,-53.0,
71,117,-80.0,-34.0,-15.0,-47.0,-48.0,
72,118,-67.0,-23.0,,-53.0,-63.0,
73,119,-69.0,-27.0,-23.0,-57.0,-65.0,
74,120,-74.0,-26.0,-32.0,-63.0,-64.0,
75,121,-73.0,-26.0,-36.0,-61.0,-64.0,
76,122,-72.0,-25.0,-20.0,-56.0,-63.0,
77,123,-79.0,-27.0,-18.0,-57.0,-51.0,
