,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,5.0,9.0,,2.0,0.0,0.0
19,65,9.0,4.0,,2.0,1.0,0.0
20,66,1.0,5.0,,6.0,1.0,-1.0
21,67,-1.0,3.0,-21.0,-1.0,-1.0,
22,68,-5.0,2.0,2.0,3.0,2.0,
23,69,-1.0,3.0,,-1.0,-1.0,0.0
24,70,0.0,3.0,,-6.0,-2.0,1.0
25,71,1.0,7.0,,-7.0,0.0,1.0
26,72,-1.0,10.0,,-8.0,-4.0,2.0
27,73,-7.0,13.0,,-7.0,-4.0,2.0
28,74,-8.0,12.0,-2.0,-9.0,-3.0,
29,75,-14.0,10.0,12.0,-7.0,-1.0,
30,76,-6.0,20.0,,-12.0,-9.0,4.0
31,77,-12.0,23.0,,-25.0,-16.0,8.0
32,78,-13.0,26.0,,-20.0,-23.0,10.0
33,79,-7.0,24.0,,-27.0,-29.0,11.0
34,80,-20.0,10.0,,-22.0,-29.0,12.0
35,81,-42.0,3.0,37.0,-31.0,-24.0,
36,82,-56.0,-14.0,,-6.0,-28.0,
37,83,-46.0,-7.0,,-35.0,-46.0,17.0
38,84,-79.0,-21.0,,-53.0,-61.0,25.0
39,85,-81.0,-22.0,,-53.0,-67.0,
40,86,-80.0,-27.0,,-62.0,-70.0,
41,87,-82.0,-32.0,,-63.0,-70.0,
42,88,-88.0,-36.0,-35.0,-61.0,-56.0,
43,89,-90.0,-43.0,-20.0,-50.0,-52.0,
44,90,-80.0,-31.0,,-59.0,-69.0,
45,91,-78.0,-27.0,,-59.0,-70.0,
46,92,-81.0,-26.0,,-59.0,-70.0,
47,93,-78.0,-29.0,,-63.0,-71.0,
48,94,-81.0,-30.0,,-58.0,-70.0,
49,95,-85.0,-35.0,-27.0,-58.0,-57.0,
50,96,-88.0,-41.0,-14.0,-49.0,-52.0,
51,97,-78.0,-27.0,,-57.0,-70.0,
52,98,-77.0,-26.0,,-53.0,-71.0,
53,99,-77.0,-22.0,,-53.0,-71.0,
54,100,-77.0,-24.0,,-54.0,-72.0,
55,101,-80.0,-31.0,,-55.0,-74.0,
56,102,-85.0,-31.0,-13.0,-53.0,-58.0,
57,103,-92.0,-47.0,-25.0,-43.0,-53.0,
58,104,-81.0,-39.0,,-60.0,-77.0,
59,105,-76.0,-25.0,,-57.0,-70.0,
60,106,-76.0,-25.0,,-56.0,-70.0,
61,107,-75.0,-28.0,,-57.0,-71.0,
62,108,-79.0,-32.0,,-54.0,-69.0,
63,109,-83.0,-32.0,0.0,-41.0,-53.0,
64,110,-85.0,-36.0,9.0,,-43.0,
65,111,-75.0,-27.0,,-49.0,-68.0,
66,112,-75.0,-23.0,,-50.0,-68.0,
67,113,-73.0,-26.0,,-49.0,-69.0,
68,114,-71.0,-24.0,,-51.0,-69.0,
69,115,-74.0,-27.0,,-46.0,-66.0,
70,116,-80.0,-29.0,-4.0,-43.0,-50.0,
71,117,-82.0,-37.0,-3.0,,-46.0,
72,118,-71.0,-24.0,,-47.0,-67.0,
73,119,-72.0,-22.0,,-54.0,-68.0,
74,120,-74.0,-24.0,,-54.0,-67.0,
75,121,-70.0,-23.0,,-50.0,-68.0,
76,122,-74.0,-26.0,,-47.0,-66.0,
77,123,-78.0,-27.0,15.0,-41.0,-50.0,
