,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7,55,,6.0,,,4.0,
8,56,,6.0,,,2.0,
9,57,,0.0,,,-4.0,
10,58,2.0,-2.0,,,1.0,
11,59,13.0,8.0,,,-1.0,
12,60,20.0,5.0,,,,
13,62,,9.0,,,4.0,
14,63,,6.0,,,8.0,
15,64,,8.0,,,2.0,
16,65,2.0,4.0,,,2.0,
17,66,4.0,5.0,,,-4.0,
18,67,-7.0,0.0,,,,
19,69,,6.0,,,6.0,
20,70,,15.0,,,5.0,
21,71,,6.0,,,-1.0,
22,72,,15.0,,,0.0,
23,73,0.0,11.0,,,-6.0,
24,74,2.0,11.0,,,,
25,76,,26.0,,,-4.0,
26,77,,33.0,,,-4.0,
27,78,,27.0,,,-9.0,
28,79,-2.0,27.0,,,-14.0,
29,80,-9.0,16.0,,,-17.0,
30,81,-31.0,5.0,,,,
31,83,,-4.0,,-38.0,-35.0,
32,84,-82.0,-25.0,,-53.0,-49.0,
33,85,-68.0,-27.0,,-43.0,-59.0,
34,86,-84.0,-25.0,,-44.0,-57.0,
35,87,-69.0,-31.0,,-41.0,-58.0,
36,88,-77.0,-31.0,,-54.0,-51.0,
37,90,-61.0,-26.0,,-54.0,-58.0,
38,91,-82.0,-37.0,,-50.0,-60.0,
39,92,,-38.0,,-57.0,-62.0,
40,93,,-38.0,,-59.0,-60.0,
41,94,-87.0,-37.0,,-56.0,-58.0,
42,95,-89.0,-41.0,,-57.0,-54.0,
43,97,,,,-59.0,-59.0,
44,98,,,,-53.0,-59.0,
45,99,,,,-43.0,-59.0,
46,100,,,,-49.0,-57.0,
47,101,,,,-59.0,-66.0,
48,102,,,,-57.0,-49.0,
49,104,,,,-51.0,-69.0,
50,105,,,,-55.0,-59.0,
51,106,,,,-59.0,-60.0,
52,107,,,,-44.0,-57.0,
53,108,,,,-39.0,-59.0,
54,109,,,,-41.0,,
55,111,,,,-42.0,-55.0,
56,112,,,,-39.0,-58.0,
57,113,,,,-37.0,-61.0,
58,114,,,,-38.0,-57.0,
59,115,,,,-42.0,-54.0,
60,116,,,,-45.0,-44.0,
61,118,,,,-48.0,-56.0,
62,119,,,,-39.0,-58.0,
63,120,,,,-37.0,-57.0,
64,121,,,,-47.0,-55.0,
65,122,,,,-50.0,-58.0,
66,123,,,,-39.0,-44.0,
