,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,5.0,7.0,15.0,3.0,1.0,1.0
19,65,6.0,9.0,26.0,9.0,1.0,0.0
20,66,3.0,8.0,26.0,13.0,0.0,0.0
21,67,3.0,9.0,2.0,6.0,-3.0,1.0
22,68,10.0,5.0,33.0,15.0,1.0,
23,69,4.0,8.0,18.0,13.0,0.0,1.0
24,70,6.0,10.0,11.0,4.0,1.0,0.0
25,71,0.0,4.0,1.0,-1.0,-1.0,2.0
26,72,2.0,10.0,8.0,7.0,-1.0,2.0
27,73,2.0,12.0,25.0,9.0,-1.0,1.0
28,74,3.0,12.0,6.0,-3.0,-3.0,2.0
29,75,6.0,19.0,26.0,6.0,-3.0,
30,76,8.0,24.0,29.0,7.0,-1.0,1.0
31,77,-3.0,23.0,0.0,-4.0,-6.0,3.0
32,78,-8.0,24.0,12.0,-9.0,-10.0,5.0
33,79,-6.0,26.0,24.0,-6.0,-12.0,6.0
34,80,-18.0,16.0,27.0,-15.0,-15.0,7.0
35,81,-35.0,18.0,19.0,-21.0,-23.0,
36,82,-43.0,-4.0,38.0,-26.0,-22.0,
37,83,-38.0,-4.0,-1.0,-27.0,-32.0,10.0
38,84,-62.0,-23.0,-29.0,-36.0,-49.0,17.0
39,85,-67.0,-27.0,-24.0,-48.0,-56.0,20.0
40,86,-70.0,-30.0,-28.0,-56.0,-57.0,20.0
41,87,-73.0,-27.0,-43.0,-68.0,-58.0,22.0
42,88,-81.0,-36.0,-52.0,-71.0,-52.0,
43,89,-80.0,-42.0,-48.0,-75.0,-49.0,
44,90,-69.0,-32.0,-35.0,-66.0,-58.0,19.0
45,91,-70.0,-28.0,-37.0,-61.0,-60.0,20.0
46,92,-71.0,-28.0,-40.0,-62.0,-60.0,21.0
47,93,-71.0,-29.0,-42.0,-65.0,-60.0,21.0
48,94,-74.0,-29.0,-50.0,-70.0,-58.0,23.0
49,95,-79.0,-30.0,-54.0,-71.0,-54.0,
50,96,-78.0,-41.0,-43.0,-69.0,-48.0,
51,97,-70.0,-30.0,-35.0,-63.0,-59.0,19.0
52,98,-69.0,-27.0,-28.0,-57.0,-61.0,20.0
53,99,-70.0,-27.0,-30.0,-59.0,-60.0,20.0
54,100,-68.0,-19.0,-33.0,-59.0,-60.0,20.0
55,101,-73.0,-28.0,-44.0,-69.0,-65.0,24.0
56,102,-76.0,-27.0,-46.0,-71.0,-54.0,
57,103,-82.0,-42.0,-50.0,-75.0,-52.0,
58,104,-76.0,-41.0,-35.0,-70.0,-71.0,
59,105,-67.0,-25.0,-35.0,-60.0,-61.0,19.0
60,106,-67.0,-24.0,-28.0,-59.0,-60.0,21.0
61,107,-68.0,-26.0,-29.0,-59.0,-60.0,21.0
62,108,-70.0,-27.0,-42.0,-67.0,-60.0,22.0
63,109,-73.0,-29.0,-45.0,-66.0,-50.0,
64,110,-74.0,-34.0,-32.0,-68.0,-44.0,
65,111,-64.0,-29.0,-19.0,-58.0,-56.0,19.0
66,112,-63.0,-26.0,-24.0,-57.0,-58.0,19.0
67,113,-66.0,-28.0,-21.0,-53.0,-58.0,20.0
68,114,-66.0,-26.0,-21.0,-55.0,-57.0,20.0
69,115,-66.0,-25.0,-28.0,-61.0,-57.0,21.0
70,116,-72.0,-26.0,-35.0,-62.0,-50.0,
71,117,-70.0,-31.0,-36.0,-67.0,-45.0,
72,118,-63.0,-29.0,-14.0,-57.0,-55.0,17.0
73,119,-63.0,-26.0,-24.0,-54.0,-55.0,17.0
74,120,-67.0,-29.0,-41.0,-59.0,-56.0,20.0
75,121,-65.0,-24.0,-32.0,-55.0,-55.0,20.0
76,122,-68.0,-26.0,-37.0,-62.0,-54.0,21.0
77,123,-70.0,-26.0,-34.0,-59.0,-45.0,
