,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,10.0,2.0,,,1.0,0.0
19,65,5.0,3.0,,,0.0,0.0
20,66,-1.0,3.0,,,3.0,0.0
21,67,4.0,-2.0,,,0.0,
22,68,5.0,-4.0,,,1.0,
23,69,-1.0,-1.0,,,0.0,1.0
24,70,1.0,2.0,,,0.0,1.0
25,71,-1.0,3.0,,,1.0,1.0
26,72,-5.0,8.0,,,-2.0,1.0
27,73,0.0,9.0,,,-2.0,0.0
28,74,-5.0,7.0,,,2.0,
29,75,4.0,6.0,,,4.0,
30,76,-1.0,17.0,,,-5.0,3.0
31,77,-8.0,23.0,,,-11.0,6.0
32,78,-14.0,20.0,,,-18.0,
33,79,-11.0,20.0,,,-21.0,
34,80,-24.0,10.0,,,-21.0,
35,81,-40.0,9.0,,,-19.0,
36,82,-50.0,-10.0,,,-27.0,
37,83,-35.0,-6.0,,,-44.0,
38,84,-71.0,-19.0,,-55.0,-58.0,
39,85,-75.0,-24.0,,-56.0,-64.0,
40,86,-77.0,-27.0,,-53.0,-67.0,
41,87,-77.0,-24.0,,-53.0,-67.0,
42,88,-83.0,-33.0,,,-55.0,
43,89,-89.0,-39.0,,,-49.0,
44,90,-73.0,-27.0,,-58.0,-69.0,
45,91,-72.0,-22.0,,,-69.0,
46,92,-79.0,-23.0,,-59.0,-68.0,
47,93,-75.0,-24.0,,-56.0,-70.0,
48,94,-80.0,-25.0,,-64.0,-68.0,
49,95,-82.0,-32.0,,,-56.0,
50,96,-88.0,-36.0,,,-51.0,
51,97,,-27.0,,-58.0,-68.0,
52,98,,-22.0,,,-67.0,
53,99,,-24.0,,-50.0,-68.0,
54,100,,-19.0,,-50.0,-67.0,
55,101,,-25.0,,-47.0,-70.0,
56,102,,-23.0,,,-50.0,
57,103,,-40.0,,,-48.0,
58,104,,-33.0,,,-75.0,
59,105,,-18.0,,,-67.0,
60,106,,-18.0,,,-66.0,
61,107,,-23.0,,-56.0,-67.0,
62,108,,-24.0,,-53.0,-66.0,
63,109,,-25.0,,,-49.0,
64,110,,-30.0,,,-45.0,
65,111,,-22.0,,,-66.0,
66,112,,-19.0,,,-66.0,
67,113,,-21.0,,,-66.0,
68,114,,-16.0,,-42.0,-65.0,
69,115,,-16.0,,-44.0,-65.0,
70,116,,-23.0,,,-46.0,
71,117,,-25.0,,,-42.0,
72,118,,-21.0,,,-64.0,
73,119,,-18.0,,,-65.0,
74,120,,-25.0,,-52.0,-64.0,
75,121,,-18.0,,-51.0,-65.0,
76,122,,-23.0,,-47.0,-62.0,
77,123,,-20.0,,,-47.0,
