,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,4.0,4.0,15.0,5.0,1.0,0.0
19,65,6.0,1.0,10.0,7.0,1.0,0.0
20,66,8.0,2.0,7.0,11.0,3.0,-1.0
21,67,7.0,-2.0,-12.0,15.0,1.0,0.0
22,68,2.0,-2.0,14.0,11.0,2.0,-1.0
23,69,0.0,0.0,-4.0,9.0,1.0,0.0
24,70,4.0,1.0,9.0,3.0,1.0,0.0
25,71,2.0,0.0,8.0,6.0,0.0,0.0
26,72,5.0,-5.0,-8.0,0.0,-2.0,1.0
27,73,5.0,-1.0,11.0,2.0,-1.0,1.0
28,74,-7.0,-5.0,-10.0,0.0,-4.0,2.0
29,75,-3.0,-4.0,22.0,-9.0,-2.0,1.0
30,76,-3.0,3.0,-10.0,-5.0,-9.0,4.0
31,77,-8.0,5.0,4.0,-19.0,-17.0,6.0
32,78,-17.0,4.0,-6.0,-24.0,-23.0,9.0
33,79,-19.0,7.0,13.0,-29.0,-28.0,10.0
34,80,-26.0,-5.0,18.0,-33.0,-30.0,10.0
35,81,-49.0,-11.0,8.0,-37.0,-31.0,10.0
36,82,-53.0,-26.0,33.0,-43.0,-30.0,
37,83,-48.0,-22.0,-18.0,-45.0,-45.0,16.0
38,84,-72.0,-32.0,-7.0,-62.0,-61.0,22.0
39,85,-75.0,-35.0,-15.0,-66.0,-68.0,24.0
40,86,-76.0,-37.0,-31.0,-67.0,-69.0,25.0
41,87,-77.0,-36.0,-30.0,-67.0,-68.0,26.0
42,88,-83.0,-44.0,-18.0,-69.0,-60.0,
43,89,-83.0,-52.0,-10.0,-71.0,-56.0,
44,90,-74.0,-39.0,-6.0,-65.0,-71.0,24.0
45,91,-72.0,-36.0,4.0,-69.0,-71.0,24.0
46,92,-73.0,-37.0,-6.0,-70.0,-71.0,25.0
47,93,-75.0,-38.0,-13.0,-72.0,-72.0,25.0
48,94,-75.0,-34.0,-14.0,-72.0,-70.0,26.0
49,95,-81.0,-40.0,-6.0,-72.0,-61.0,
50,96,-80.0,-48.0,7.0,-73.0,-55.0,
51,97,-75.0,-38.0,4.0,-69.0,-72.0,24.0
52,98,-73.0,-35.0,,-65.0,-71.0,24.0
53,99,-74.0,-34.0,4.0,-65.0,-71.0,24.0
54,100,-74.0,-33.0,-23.0,-69.0,-71.0,25.0
55,101,-76.0,-32.0,-4.0,-68.0,-72.0,26.0
56,102,-80.0,-35.0,12.0,-69.0,-60.0,
57,103,-82.0,-52.0,-19.0,-71.0,-57.0,
58,104,-76.0,-41.0,8.0,-69.0,-73.0,25.0
59,105,-74.0,-33.0,,-64.0,-68.0,24.0
60,106,-73.0,-30.0,31.0,-63.0,-68.0,23.0
61,107,-76.0,-34.0,-25.0,-68.0,-68.0,25.0
62,108,-74.0,-32.0,-5.0,-67.0,-67.0,25.0
63,109,-80.0,-35.0,18.0,-61.0,-55.0,
64,110,-78.0,-39.0,10.0,-62.0,-49.0,
65,111,-71.0,-29.0,20.0,-55.0,-66.0,22.0
66,112,-72.0,-28.0,,-59.0,-66.0,23.0
67,113,-71.0,-29.0,7.0,-58.0,-66.0,23.0
68,114,-71.0,-27.0,11.0,-59.0,-66.0,23.0
69,115,-72.0,-27.0,9.0,-59.0,-66.0,24.0
70,116,-78.0,-32.0,21.0,-58.0,-56.0,
71,117,-76.0,-38.0,17.0,-64.0,-50.0,
72,118,-71.0,-32.0,-21.0,-61.0,-66.0,23.0
73,119,-71.0,-28.0,,-57.0,-66.0,21.0
74,120,-72.0,-30.0,-21.0,-62.0,-66.0,23.0
75,121,-72.0,-26.0,-26.0,-64.0,-66.0,23.0
76,122,-72.0,-27.0,-12.0,-63.0,-65.0,24.0
77,123,-77.0,-32.0,32.0,-61.0,-54.0,
