,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,14.0,8.0,,5.0,1.0,-1.0
19,65,13.0,12.0,,1.0,1.0,0.0
20,66,5.0,9.0,,-3.0,-2.0,0.0
21,67,2.0,2.0,,-5.0,-1.0,
22,68,16.0,4.0,-46.0,,-2.0,
23,69,9.0,9.0,,-4.0,-1.0,1.0
24,70,5.0,6.0,,-11.0,-1.0,1.0
25,71,4.0,7.0,,-5.0,-2.0,2.0
26,72,3.0,18.0,,-12.0,-1.0,2.0
27,73,5.0,21.0,,-12.0,-4.0,2.0
28,74,4.0,19.0,,-20.0,-1.0,
29,75,17.0,21.0,-41.0,,-8.0,
30,76,5.0,28.0,,-18.0,-12.0,5.0
31,77,0.0,29.0,,-37.0,-20.0,9.0
32,78,-4.0,34.0,,-32.0,-27.0,12.0
33,79,0.0,46.0,,-32.0,-30.0,12.0
34,80,-7.0,24.0,,-35.0,-32.0,13.0
35,81,-26.0,17.0,,-35.0,-27.0,
36,82,-23.0,-5.0,-20.0,,-35.0,
37,83,-26.0,3.0,,-51.0,-53.0,19.0
38,84,-61.0,-15.0,,-71.0,-67.0,
39,85,-65.0,-16.0,-71.0,-70.0,-73.0,
40,86,-63.0,-13.0,-56.0,-67.0,-74.0,
41,87,-68.0,-17.0,-56.0,-69.0,-76.0,
42,88,-71.0,-20.0,,-56.0,-62.0,
43,89,-63.0,-29.0,-54.0,-51.0,-56.0,
44,90,-56.0,-16.0,,-65.0,-77.0,
45,91,-61.0,-14.0,,-66.0,-77.0,
46,92,-65.0,-19.0,-62.0,-66.0,-76.0,
47,93,-63.0,-15.0,-68.0,-68.0,-77.0,
48,94,-65.0,-19.0,-59.0,-69.0,-77.0,
49,95,-70.0,-17.0,-59.0,-60.0,-61.0,
50,96,-64.0,-26.0,-51.0,-46.0,-56.0,
51,97,,-16.0,,-62.0,-78.0,
52,98,,-15.0,,-61.0,-78.0,
53,99,,-15.0,-53.0,-59.0,-77.0,
54,100,,-10.0,-59.0,-64.0,-77.0,
55,101,-62.0,-14.0,,-60.0,-82.0,
56,102,-69.0,-17.0,,-53.0,-59.0,
57,103,,-30.0,-46.0,,-56.0,
58,104,,-29.0,,-61.0,-85.0,
59,105,,-16.0,,-62.0,-77.0,
60,106,,-16.0,,-59.0,-76.0,
61,107,,-15.0,,-64.0,-76.0,
62,108,-64.0,-15.0,,-60.0,-76.0,
63,109,-64.0,-19.0,,-46.0,-54.0,
64,110,,-24.0,-35.0,,-53.0,
65,111,,-18.0,,-56.0,-75.0,
66,112,,-14.0,,-60.0,-76.0,
67,113,-59.0,-18.0,,-59.0,-74.0,
68,114,-55.0,-13.0,,-56.0,-74.0,
69,115,-56.0,-14.0,,-57.0,-75.0,
70,116,-60.0,-15.0,,-47.0,-52.0,
71,117,,-21.0,-37.0,,-50.0,
72,118,,-18.0,,-61.0,-75.0,
73,119,,-17.0,,-64.0,-74.0,
74,120,-62.0,-21.0,-66.0,-65.0,-73.0,
75,121,-54.0,-15.0,,-62.0,-73.0,
76,122,-54.0,-13.0,,-54.0,-73.0,
77,123,-57.0,-14.0,,-38.0,-53.0,
