,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,18.0,10.0,37.0,20.0,1.0,-1.0
19,65,7.0,7.0,18.0,13.0,0.0,0.0
20,66,4.0,8.0,31.0,16.0,2.0,0.0
21,67,-1.0,1.0,4.0,3.0,1.0,
22,68,16.0,9.0,38.0,20.0,4.0,
23,69,9.0,4.0,15.0,18.0,0.0,1.0
24,70,9.0,6.0,30.0,13.0,-1.0,1.0
25,71,5.0,9.0,24.0,7.0,-1.0,2.0
26,72,-2.0,11.0,0.0,1.0,-1.0,2.0
27,73,8.0,15.0,41.0,20.0,-3.0,0.0
28,74,2.0,9.0,6.0,6.0,2.0,
29,75,13.0,18.0,46.0,15.0,1.0,
30,76,0.0,24.0,24.0,15.0,-3.0,3.0
31,77,-5.0,23.0,19.0,-2.0,-9.0,5.0
32,78,-6.0,27.0,22.0,-4.0,-15.0,7.0
33,79,-9.0,26.0,36.0,3.0,-19.0,7.0
34,80,-16.0,11.0,56.0,0.0,-21.0,8.0
35,81,-41.0,11.0,29.0,-12.0,-23.0,
36,82,-43.0,-4.0,68.0,-1.0,-27.0,
37,83,-42.0,-4.0,3.0,-18.0,-41.0,
38,84,-77.0,-31.0,-31.0,-52.0,-59.0,
39,85,-78.0,-32.0,-41.0,-56.0,-65.0,
40,86,-74.0,-38.0,-32.0,-57.0,-65.0,
41,87,-79.0,-35.0,-38.0,-61.0,-65.0,
42,88,-83.0,-44.0,-49.0,-63.0,-57.0,
43,89,-88.0,-45.0,-34.0,-57.0,-52.0,
44,90,-76.0,-37.0,-33.0,-54.0,-66.0,
45,91,-74.0,-36.0,-32.0,-55.0,-68.0,
46,92,-79.0,-34.0,-42.0,-63.0,-67.0,
47,93,-81.0,-36.0,-49.0,-64.0,-68.0,
48,94,-78.0,-36.0,-49.0,-65.0,-66.0,
49,95,-83.0,-42.0,-54.0,-64.0,-54.0,
50,96,-84.0,-42.0,-35.0,-64.0,-54.0,
51,97,,-35.0,-29.0,-52.0,-66.0,
52,98,,-35.0,-24.0,-53.0,-66.0,
53,99,-74.0,-35.0,-42.0,-59.0,-67.0,
54,100,-75.0,-30.0,-37.0,-57.0,-67.0,
55,101,-76.0,-35.0,-36.0,-61.0,-70.0,
56,102,-80.0,-37.0,-55.0,-64.0,-52.0,
57,103,,-46.0,-30.0,-60.0,-51.0,
58,104,,-44.0,-25.0,-52.0,-74.0,
59,105,,-35.0,-26.0,-53.0,-66.0,
60,106,-74.0,-33.0,-36.0,-58.0,-67.0,
61,107,-72.0,-32.0,-31.0,-56.0,-66.0,
62,108,-72.0,-37.0,-35.0,-57.0,-65.0,
63,109,-79.0,-37.0,-43.0,-59.0,-53.0,
64,110,,-38.0,-19.0,-55.0,-50.0,
65,111,,-32.0,-21.0,-45.0,-63.0,
66,112,-70.0,-29.0,-21.0,-49.0,-63.0,
67,113,-72.0,-28.0,-27.0,-51.0,-65.0,
68,114,-70.0,-27.0,-30.0,-51.0,-63.0,
69,115,-71.0,-27.0,-25.0,-50.0,-63.0,
70,116,-77.0,-36.0,-43.0,-55.0,-51.0,
71,117,,-35.0,-35.0,-57.0,-49.0,
72,118,,-30.0,-25.0,-41.0,-62.0,
73,119,-68.0,-29.0,-27.0,-48.0,-62.0,
74,120,-70.0,-31.0,-42.0,-58.0,-63.0,
75,121,-69.0,-29.0,-41.0,-57.0,-62.0,
76,122,-71.0,-30.0,-34.0,-54.0,-61.0,
77,123,-74.0,-36.0,-40.0,-51.0,-46.0,
