,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,9.0,4.0,18.0,3.0,1.0,0.0
19,65,10.0,2.0,25.0,1.0,0.0,0.0
20,66,12.0,0.0,24.0,2.0,0.0,0.0
21,67,3.0,6.0,0.0,0.0,-1.0,
22,68,18.0,-4.0,28.0,7.0,-3.0,
23,69,6.0,0.0,6.0,6.0,-1.0,1.0
24,70,7.0,3.0,10.0,10.0,0.0,0.0
25,71,5.0,3.0,6.0,3.0,0.0,1.0
26,72,3.0,10.0,2.0,-2.0,-1.0,1.0
27,73,11.0,6.0,15.0,-1.0,-2.0,1.0
28,74,1.0,10.0,-6.0,-9.0,-1.0,
29,75,10.0,10.0,33.0,7.0,-4.0,
30,76,9.0,16.0,14.0,-5.0,-7.0,3.0
31,77,-1.0,21.0,12.0,-8.0,-9.0,5.0
32,78,-4.0,21.0,25.0,-20.0,-17.0,8.0
33,79,-3.0,23.0,,-18.0,-21.0,8.0
34,80,-10.0,8.0,37.0,-14.0,-22.0,9.0
35,81,-33.0,15.0,27.0,-29.0,-23.0,
36,82,-32.0,-12.0,70.0,-2.0,-25.0,
37,83,-32.0,-6.0,12.0,-35.0,-39.0,13.0
38,84,-68.0,-23.0,-4.0,-51.0,-57.0,20.0
39,85,-71.0,-28.0,-6.0,-52.0,-63.0,
40,86,-75.0,-29.0,-27.0,-58.0,-65.0,
41,87,-73.0,-28.0,-25.0,-57.0,-65.0,
42,88,-82.0,-33.0,-42.0,-63.0,-56.0,
43,89,-80.0,-44.0,-28.0,-51.0,-48.0,
44,90,-67.0,-31.0,-16.0,-52.0,-67.0,
45,91,-70.0,-26.0,-8.0,-54.0,-66.0,
46,92,-73.0,-27.0,-6.0,-54.0,-66.0,
47,93,-72.0,-32.0,-16.0,-56.0,-66.0,
48,94,-73.0,-28.0,-19.0,-59.0,-65.0,
49,95,-79.0,-32.0,-31.0,-58.0,-54.0,
50,96,-79.0,-41.0,-28.0,-43.0,-48.0,
51,97,-71.0,-31.0,-6.0,-51.0,-68.0,
52,98,-72.0,-28.0,2.0,-46.0,-67.0,
53,99,-73.0,-27.0,-6.0,-51.0,-66.0,
54,100,-71.0,-27.0,-18.0,-54.0,-66.0,
55,101,-72.0,-29.0,-20.0,-53.0,-68.0,
56,102,-78.0,-27.0,-24.0,-50.0,-58.0,
57,103,-82.0,-44.0,-30.0,-44.0,-52.0,
58,104,-74.0,-40.0,-10.0,-54.0,-70.0,
59,105,-72.0,-25.0,-10.0,-48.0,-65.0,
60,106,-70.0,-26.0,16.0,-48.0,-65.0,
61,107,-70.0,-29.0,-14.0,-47.0,-65.0,
62,108,-68.0,-26.0,-14.0,-53.0,-65.0,
63,109,-75.0,-26.0,-17.0,-50.0,-52.0,
64,110,-72.0,-33.0,-6.0,-42.0,-48.0,
65,111,-68.0,-27.0,4.0,-41.0,-63.0,
66,112,-67.0,-21.0,16.0,-44.0,-62.0,21.0
67,113,-67.0,-23.0,15.0,-41.0,-62.0,
68,114,-67.0,-21.0,16.0,-42.0,-63.0,
69,115,-68.0,-22.0,6.0,-45.0,-62.0,
70,116,-75.0,-23.0,-18.0,-45.0,-48.0,
71,117,-74.0,-33.0,3.0,-31.0,-44.0,
72,118,-69.0,-26.0,-9.0,-49.0,-61.0,21.0
73,119,-67.0,-22.0,14.0,-41.0,-61.0,19.0
74,120,-67.0,-24.0,-11.0,-43.0,-61.0,23.0
75,121,-69.0,-20.0,-14.0,-53.0,-61.0,23.0
76,122,-69.0,-20.0,-12.0,-48.0,-61.0,
77,123,-73.0,-21.0,-14.0,-47.0,-50.0,
