,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,10.0,-2.0,29.0,1.0,2.0,0.0
19,65,14.0,0.0,36.0,5.0,3.0,0.0
20,66,12.0,-2.0,35.0,1.0,2.0,0.0
21,67,6.0,-2.0,15.0,0.0,1.0,0.0
22,68,13.0,-2.0,45.0,18.0,1.0,-2.0
23,69,9.0,-3.0,35.0,-5.0,2.0,0.0
24,70,9.0,0.0,30.0,-1.0,2.0,0.0
25,71,8.0,2.0,21.0,-4.0,2.0,1.0
26,72,10.0,12.0,9.0,2.0,1.0,1.0
27,73,9.0,10.0,15.0,0.0,-1.0,1.0
28,74,5.0,7.0,-6.0,-12.0,-3.0,3.0
29,75,7.0,8.0,4.0,2.0,-5.0,1.0
30,76,11.0,20.0,16.0,-8.0,-5.0,3.0
31,77,4.0,25.0,18.0,-16.0,-11.0,6.0
32,78,-1.0,24.0,21.0,-17.0,-18.0,9.0
33,79,2.0,27.0,26.0,-15.0,-23.0,10.0
34,80,-7.0,9.0,20.0,-21.0,-25.0,11.0
35,81,-26.0,8.0,19.0,-25.0,-22.0,9.0
36,82,-34.0,-10.0,28.0,-20.0,-26.0,
37,83,-33.0,-7.0,-5.0,-36.0,-42.0,16.0
38,84,-66.0,-23.0,-22.0,-56.0,-57.0,23.0
39,85,-68.0,-28.0,-21.0,-59.0,-64.0,26.0
40,86,-68.0,-29.0,-14.0,-59.0,-66.0,26.0
41,87,-69.0,-31.0,-26.0,-62.0,-67.0,27.0
42,88,-78.0,-39.0,-51.0,-66.0,-55.0,
43,89,-80.0,-46.0,-45.0,-58.0,-52.0,
44,90,-67.0,-34.0,-26.0,-57.0,-67.0,25.0
45,91,-66.0,-32.0,-23.0,-61.0,-69.0,26.0
46,92,-67.0,-33.0,-19.0,-60.0,-68.0,27.0
47,93,-68.0,-36.0,-29.0,-62.0,-68.0,28.0
48,94,-69.0,-34.0,-25.0,-59.0,-67.0,27.0
49,95,-76.0,-39.0,-35.0,-56.0,-54.0,
50,96,-76.0,-44.0,-35.0,-55.0,-51.0,
51,97,-67.0,-35.0,-9.0,-58.0,-68.0,25.0
52,98,-66.0,-31.0,-12.0,-52.0,-69.0,26.0
53,99,-68.0,-32.0,-28.0,-58.0,-69.0,27.0
54,100,-65.0,-29.0,-17.0,-55.0,-69.0,27.0
55,101,-69.0,-35.0,-23.0,-57.0,-70.0,28.0
56,102,-75.0,-35.0,-25.0,-54.0,-53.0,
57,103,-79.0,-48.0,-46.0,-55.0,-52.0,
58,104,-71.0,-39.0,-22.0,-61.0,-71.0,27.0
59,105,-67.0,-31.0,-13.0,-53.0,-69.0,26.0
60,106,-65.0,-30.0,-9.0,-54.0,-68.0,27.0
61,107,-63.0,-31.0,-17.0,-54.0,-69.0,27.0
62,108,-65.0,-31.0,-20.0,-54.0,-68.0,27.0
63,109,-74.0,-34.0,-24.0,-52.0,-51.0,
64,110,-73.0,-41.0,-16.0,-43.0,-47.0,
65,111,-63.0,-31.0,4.0,-50.0,-66.0,24.0
66,112,-65.0,-29.0,2.0,-48.0,-66.0,25.0
67,113,-62.0,-30.0,-3.0,-48.0,-66.0,26.0
68,114,-61.0,-26.0,3.0,-48.0,-66.0,26.0
69,115,-62.0,-30.0,-12.0,-52.0,-66.0,26.0
70,116,-70.0,-34.0,-25.0,-47.0,-51.0,
71,117,-70.0,-39.0,-35.0,-47.0,-46.0,
72,118,-60.0,-31.0,-19.0,-53.0,-64.0,25.0
73,119,-61.0,-29.0,-11.0,-48.0,-65.0,23.0
74,120,-60.0,-30.0,-15.0,-51.0,-64.0,26.0
75,121,-61.0,-27.0,-19.0,-50.0,-65.0,26.0
76,122,-61.0,-30.0,-20.0,-51.0,-64.0,26.0
77,123,-69.0,-33.0,-29.0,-51.0,-48.0,
