,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,11.0,3.0,35.0,2.0,0.0,1.0
19,65,9.0,5.0,19.0,13.0,3.0,0.0
20,66,6.0,5.0,17.0,6.0,2.0,0.0
21,67,2.0,4.0,-17.0,4.0,5.0,
22,68,3.0,-3.0,15.0,17.0,9.0,
23,69,6.0,3.0,14.0,3.0,0.0,0.0
24,70,3.0,4.0,16.0,3.0,1.0,1.0
25,71,4.0,3.0,13.0,1.0,-1.0,1.0
26,72,3.0,10.0,-8.0,1.0,-2.0,2.0
27,73,-1.0,13.0,33.0,-1.0,-2.0,1.0
28,74,-7.0,12.0,-3.0,-13.0,1.0,
29,75,-2.0,8.0,35.0,2.0,-3.0,
30,76,0.0,14.0,16.0,-17.0,-15.0,5.0
31,77,-13.0,18.0,17.0,-23.0,-19.0,7.0
32,78,-21.0,18.0,19.0,-36.0,-27.0,11.0
33,79,-19.0,21.0,36.0,-32.0,-30.0,11.0
34,80,-30.0,11.0,46.0,-38.0,-30.0,11.0
35,81,-51.0,11.0,42.0,-43.0,-24.0,
36,82,-59.0,-10.0,69.0,-35.0,-33.0,
37,83,-51.0,-11.0,3.0,-52.0,-54.0,
38,84,-74.0,-28.0,-31.0,-67.0,-67.0,
39,85,-80.0,-32.0,-40.0,-71.0,-73.0,
40,86,-78.0,-36.0,-44.0,-75.0,-74.0,
41,87,-81.0,-35.0,-51.0,-76.0,-74.0,
42,88,-87.0,-41.0,-57.0,-81.0,-61.0,
43,89,-85.0,-49.0,-49.0,-76.0,-62.0,
44,90,-77.0,-35.0,-33.0,-74.0,-75.0,
45,91,-77.0,-32.0,-27.0,-72.0,-76.0,
46,92,-77.0,-35.0,-42.0,-75.0,-75.0,
47,93,-78.0,-36.0,-48.0,-75.0,-76.0,
48,94,-84.0,-33.0,-54.0,-78.0,-74.0,
49,95,-87.0,-40.0,-63.0,-77.0,-61.0,
50,96,-86.0,-46.0,-49.0,-73.0,-58.0,
51,97,-81.0,-33.0,-39.0,-75.0,-76.0,
52,98,-78.0,-32.0,-23.0,-69.0,-76.0,
53,99,-79.0,-33.0,-40.0,-72.0,-75.0,
54,100,-79.0,-28.0,-50.0,-73.0,-75.0,
55,101,-82.0,-32.0,-47.0,-75.0,-79.0,
56,102,-85.0,-35.0,-59.0,-78.0,-59.0,
57,103,-87.0,-48.0,-54.0,-76.0,-55.0,
58,104,-80.0,-42.0,-29.0,-77.0,-83.0,
59,105,-76.0,-31.0,-32.0,-72.0,-75.0,
60,106,-78.0,-34.0,-26.0,-71.0,-75.0,
61,107,-79.0,-32.0,-44.0,-76.0,-74.0,
62,108,-80.0,-32.0,-49.0,-77.0,-73.0,
63,109,-85.0,-37.0,-51.0,-77.0,-56.0,
64,110,-84.0,-42.0,-41.0,-74.0,-56.0,
65,111,-76.0,-34.0,-26.0,-76.0,-74.0,
66,112,-75.0,-31.0,-15.0,-71.0,-75.0,
67,113,-76.0,-31.0,-19.0,-73.0,-73.0,
68,114,-76.0,-30.0,-28.0,-71.0,-73.0,
69,115,-78.0,-30.0,-27.0,-73.0,-71.0,
70,116,-83.0,-31.0,-42.0,-76.0,-52.0,
71,117,-81.0,-39.0,-41.0,-72.0,-54.0,
72,118,-71.0,-32.0,-37.0,-73.0,-72.0,
73,119,-73.0,-29.0,-25.0,-70.0,-72.0,
74,120,-75.0,-34.0,-48.0,-74.0,-72.0,
75,121,-75.0,-30.0,-44.0,-76.0,-72.0,
76,122,-76.0,-30.0,-37.0,-74.0,-71.0,
77,123,-82.0,-32.0,-41.0,-76.0,-51.0,
