,date,value
17,2020-04-04,99
18,2020-04-05,88
19,2020-04-06,106
20,2020-04-07,119
21,2020-04-08,107
22,2020-04-09,106
23,2020-04-10,86
24,2020-04-11,97
25,2020-04-12,91
26,2020-04-13,92
27,2020-04-14,93
28,2020-04-15,96
29,2020-04-16,97
30,2020-04-17,80
31,2020-04-18,77
32,2020-04-19,78
33,2020-04-20,89
34,2020-04-21,91
35,2020-04-22,84
36,2020-04-23,85
37,2020-04-24,83
38,2020-04-25,96
39,2020-04-26,84
40,2020-04-27,87
41,2020-04-28,107
42,2020-04-29,92
43,2020-04-30,78
44,2020-05-01,88
45,2020-05-02,95
46,2020-05-03,66
47,2020-05-04,70
