,date,value
1,2020-09-12,*
2,2020-09-13,*
3,2020-09-14,*
4,2020-09-15,*
5,2020-09-16,*
6,2020-09-17,*
7,2020-09-18,*
8,2020-09-19,5
9,2020-09-20,5
10,2020-09-21,*
11,2020-09-22,*
12,2020-09-23,*
13,2020-09-24,*
14,2020-09-25,*
15,2020-09-26,*
16,2020-09-27,7
17,2020-09-28,6
18,2020-09-29,6
19,2020-09-30,5
20,2020-10-01,5
21,2020-10-02,5
22,2020-10-03,9
23,2020-10-04,10
24,2020-10-05,9
25,2020-10-06,13
26,2020-10-07,16
27,2020-10-08,17
28,2020-10-09,17
29,2020-10-10,15
30,2020-10-11,18
31,2020-10-12,19
