,date,value
240,2020-11-02,
241,2020-11-03,207.0
242,2020-11-04,318.0
243,2020-11-05,236.0
244,2020-11-06,210.0
245,2020-11-07,368.0
246,2020-11-08,245.0
247,2020-11-09,219.0
248,2020-11-10,171.0
249,2020-11-11,272.0
250,2020-11-12,231.0
251,2020-11-13,267.0
252,2020-11-14,218.0
253,2020-11-15,226.0
254,2020-11-16,136.0
255,2020-11-17,282.0
256,2020-11-18,312.0
257,2020-11-19,213.0
258,2020-11-20,162.0
259,2020-11-21,246.0
260,2020-11-22,181.0
261,2020-11-23,190.0
262,2020-11-24,156.0
263,2020-11-25,190.0
264,2020-11-26,235.0
265,2020-11-27,201.0
266,2020-11-28,166.0
267,2020-11-29,159.0
268,2020-11-30,48.0
269,2020-12-01,168.0
270,2020-12-02,154.0
