,date,value
124,2020-07-28,*
125,2020-07-29,*
126,2020-07-30,*
127,2020-07-31,*
128,2020-08-01,*
129,2020-08-02,*
130,2020-08-03,*
131,2020-08-04,*
132,2020-08-05,*
133,2020-08-06,*
134,2020-08-07,*
135,2020-08-08,*
136,2020-08-09,*
137,2020-08-10,*
138,2020-08-11,*
139,2020-08-12,*
140,2020-08-13,*
141,2020-08-14,*
142,2020-08-15,*
143,2020-08-16,*
144,2020-08-17,*
145,2020-08-18,*
146,2020-08-19,*
147,2020-08-20,*
148,2020-08-21,*
149,2020-08-22,*
150,2020-08-23,*
151,2020-08-24,*
152,2020-08-25,*
153,2020-08-26,*
154,2020-08-27,*
