,date,value
17,2020-04-04,232
18,2020-04-05,270
19,2020-04-06,278
20,2020-04-07,261
21,2020-04-08,275
22,2020-04-09,269
23,2020-04-10,277
24,2020-04-11,262
25,2020-04-12,245
26,2020-04-13,258
27,2020-04-14,263
28,2020-04-15,259
29,2020-04-16,284
30,2020-04-17,278
31,2020-04-18,286
32,2020-04-19,279
33,2020-04-20,268
34,2020-04-21,322
35,2020-04-22,288
36,2020-04-23,277
37,2020-04-24,275
38,2020-04-25,287
39,2020-04-26,301
40,2020-04-27,301
41,2020-04-28,263
42,2020-04-29,254
43,2020-04-30,280
44,2020-05-01,310
45,2020-05-02,258
46,2020-05-03,269
47,2020-05-04,327
