,date,value
192,2020-09-15,3426
193,2020-09-16,3466
194,2020-09-17,3518
195,2020-09-18,3547
196,2020-09-19,3603
197,2020-09-20,3652
198,2020-09-21,3699
199,2020-09-22,3791
200,2020-09-23,3898
201,2020-09-24,3964
202,2020-09-25,4025
203,2020-09-26,4116
204,2020-09-27,4174
205,2020-09-28,4211
206,2020-09-29,4302
207,2020-09-30,4375
208,2020-10-01,4498
209,2020-10-02,4600
210,2020-10-03,4752
211,2020-10-04,4890
212,2020-10-05,5020
213,2020-10-06,5187
214,2020-10-07,5382
215,2020-10-08,5612
216,2020-10-09,5918
217,2020-10-10,6122
218,2020-10-11,6347
219,2020-10-12,6591
220,2020-10-13,6928
221,2020-10-14,7255
222,2020-10-15,7629
