,date,value
317,2021-01-18,
318,2021-01-19,14.0
319,2021-01-20,24.0
320,2021-01-21,24.0
321,2021-01-22,31.0
322,2021-01-23,22.0
323,2021-01-24,21.0
324,2021-01-25,7.0
325,2021-01-26,12.0
326,2021-01-27,20.0
327,2021-01-28,11.0
328,2021-01-29,17.0
329,2021-01-30,12.0
330,2021-01-31,12.0
331,2021-02-01,11.0
332,2021-02-02,6.0
333,2021-02-03,11.0
334,2021-02-04,19.0
335,2021-02-05,5.0
336,2021-02-06,9.0
337,2021-02-07,6.0
338,2021-02-08,4.0
339,2021-02-09,6.0
340,2021-02-10,7.0
341,2021-02-11,5.0
342,2021-02-12,4.0
343,2021-02-13,4.0
344,2021-02-14,3.0
345,2021-02-15,5.0
346,2021-02-16,3.0
347,2021-02-17,12.0
