,date,value
192,2020-09-15,3659
193,2020-09-16,3704
194,2020-09-17,3751
195,2020-09-18,3781
196,2020-09-19,3861
197,2020-09-20,3914
198,2020-09-21,3944
199,2020-09-22,3995
200,2020-09-23,4052
201,2020-09-24,4125
202,2020-09-25,4244
203,2020-09-26,4357
204,2020-09-27,4397
205,2020-09-28,4451
206,2020-09-29,4631
207,2020-09-30,4791
208,2020-10-01,4957
209,2020-10-02,5121
210,2020-10-03,5264
211,2020-10-04,5440
212,2020-10-05,5585
213,2020-10-06,5749
214,2020-10-07,5939
215,2020-10-08,6091
216,2020-10-09,6283
217,2020-10-10,6443
218,2020-10-11,6601
219,2020-10-12,6713
220,2020-10-13,6904
221,2020-10-14,7143
222,2020-10-15,7304
