,date,value
82,2020-06-16,7
83,2020-06-17,5
84,2020-06-18,5
85,2020-06-19,6
86,2020-06-20,7
87,2020-06-21,7
88,2020-06-22,7
89,2020-06-23,7
90,2020-06-24,7
91,2020-06-25,8
92,2020-06-26,7
93,2020-06-27,6
94,2020-06-28,6
95,2020-06-29,5
96,2020-06-30,6
97,2020-07-01,6
98,2020-07-02,6
99,2020-07-03,5
100,2020-07-04,6
101,2020-07-05,6
102,2020-07-06,*
103,2020-07-07,*
104,2020-07-08,*
105,2020-07-09,*
106,2020-07-10,*
107,2020-07-11,*
108,2020-07-12,*
109,2020-07-13,*
110,2020-07-14,*
111,2020-07-15,*
112,2020-07-16,*
