,date,value
17,2020-04-04,111
18,2020-04-05,118
19,2020-04-06,119
20,2020-04-07,125
21,2020-04-08,134
22,2020-04-09,109
23,2020-04-10,112
24,2020-04-11,123
25,2020-04-12,113
26,2020-04-13,115
27,2020-04-14,109
28,2020-04-15,110
29,2020-04-16,118
30,2020-04-17,109
31,2020-04-18,108
32,2020-04-19,98
33,2020-04-20,110
34,2020-04-21,98
35,2020-04-22,90
36,2020-04-23,97
37,2020-04-24,78
38,2020-04-25,92
39,2020-04-26,91
40,2020-04-27,95
41,2020-04-28,88
42,2020-04-29,96
43,2020-04-30,95
44,2020-05-01,86
45,2020-05-02,86
46,2020-05-03,88
47,2020-05-04,92
