,date,value
4,2020-09-15,22
5,2020-09-16,25
6,2020-09-17,27
7,2020-09-18,33
8,2020-09-19,35
9,2020-09-20,34
10,2020-09-21,40
11,2020-09-22,37
12,2020-09-23,40
13,2020-09-24,38
14,2020-09-25,41
15,2020-09-26,45
16,2020-09-27,46
17,2020-09-28,51
18,2020-09-29,51
19,2020-09-30,60
20,2020-10-01,73
21,2020-10-02,87
22,2020-10-03,94
23,2020-10-04,98
24,2020-10-05,95
25,2020-10-06,112
26,2020-10-07,144
27,2020-10-08,177
28,2020-10-09,189
29,2020-10-10,204
30,2020-10-11,214
31,2020-10-12,220
32,2020-10-13,248
33,2020-10-14,257
34,2020-10-15,276
