,date,value
17,2020-04-04,44
18,2020-04-05,53
19,2020-04-06,61
20,2020-04-07,61
21,2020-04-08,62
22,2020-04-09,73
23,2020-04-10,74
24,2020-04-11,77
25,2020-04-12,91
26,2020-04-13,89
27,2020-04-14,86
28,2020-04-15,78
29,2020-04-16,86
30,2020-04-17,85
31,2020-04-18,84
32,2020-04-19,80
33,2020-04-20,84
34,2020-04-21,91
35,2020-04-22,91
36,2020-04-23,102
37,2020-04-24,100
38,2020-04-25,98
39,2020-04-26,88
40,2020-04-27,90
41,2020-04-28,97
42,2020-04-29,104
43,2020-04-30,119
44,2020-05-01,119
45,2020-05-02,125
46,2020-05-03,147
47,2020-05-04,130
