,date,value
79,2020-06-13,58
80,2020-06-14,57
81,2020-06-15,56
82,2020-06-16,56
83,2020-06-17,56
84,2020-06-18,57
85,2020-06-19,53
86,2020-06-20,52
87,2020-06-21,51
88,2020-06-22,53
89,2020-06-23,53
90,2020-06-24,51
91,2020-06-25,49
92,2020-06-26,49
93,2020-06-27,48
94,2020-06-28,49
95,2020-06-29,49
96,2020-06-30,47
97,2020-07-01,47
98,2020-07-02,47
99,2020-07-03,46
100,2020-07-04,46
101,2020-07-05,46
102,2020-07-06,*
103,2020-07-07,*
104,2020-07-08,*
105,2020-07-09,*
106,2020-07-10,*
107,2020-07-11,*
108,2020-07-12,*
109,2020-07-13,*
