,date,value
192,2020-09-15,1239
193,2020-09-16,1254
194,2020-09-17,1263
195,2020-09-18,1273
196,2020-09-19,1281
197,2020-09-20,1293
198,2020-09-21,1309
199,2020-09-22,1324
200,2020-09-23,1336
201,2020-09-24,1352
202,2020-09-25,1363
203,2020-09-26,1379
204,2020-09-27,1385
205,2020-09-28,1396
206,2020-09-29,1420
207,2020-09-30,1448
208,2020-10-01,1467
209,2020-10-02,1492
210,2020-10-03,1526
211,2020-10-04,1553
212,2020-10-05,1589
213,2020-10-06,1631
214,2020-10-07,1667
215,2020-10-08,1701
216,2020-10-09,1754
217,2020-10-10,1784
218,2020-10-11,1829
219,2020-10-12,1862
220,2020-10-13,1918
221,2020-10-14,1976
222,2020-10-15,2029
