,date,value
57,2020-05-14,26
58,2020-05-15,22
59,2020-05-16,21
60,2020-05-17,20
61,2020-05-18,20
62,2020-05-19,20
63,2020-05-20,18
64,2020-05-21,16
65,2020-05-22,14
66,2020-05-23,13
67,2020-05-24,12
68,2020-05-25,12
69,2020-05-26,11
70,2020-05-27,9
71,2020-05-28,9
72,2020-05-29,9
73,2020-05-30,9
74,2020-05-31,7
75,2020-06-01,7
76,2020-06-02,7
77,2020-06-03,6
78,2020-06-04,5
79,2020-06-05,*
80,2020-06-06,*
81,2020-06-07,*
82,2020-06-08,*
83,2020-06-09,*
84,2020-06-10,*
85,2020-06-11,*
86,2020-06-12,*
87,2020-06-13,*
