,date,value
192,2020-09-15,6584
193,2020-09-16,6689
194,2020-09-17,6801
195,2020-09-18,6870
196,2020-09-19,6986
197,2020-09-20,7046
198,2020-09-21,7149
199,2020-09-22,7330
200,2020-09-23,7554
201,2020-09-24,7773
202,2020-09-25,8028
203,2020-09-26,8318
204,2020-09-27,8490
205,2020-09-28,8543
206,2020-09-29,8845
207,2020-09-30,9077
208,2020-10-01,9321
209,2020-10-02,9645
210,2020-10-03,9944
211,2020-10-04,10210
212,2020-10-05,10452
213,2020-10-06,10755
214,2020-10-07,11165
215,2020-10-08,11570
216,2020-10-09,12010
217,2020-10-10,12367
218,2020-10-11,12663
219,2020-10-12,13022
220,2020-10-13,13441
221,2020-10-14,13978
222,2020-10-15,14428
