,date,value
366,2021-03-08,
367,2021-03-09,62.0
368,2021-03-10,96.0
369,2021-03-11,73.0
370,2021-03-12,93.0
371,2021-03-13,97.0
372,2021-03-14,75.0
373,2021-03-15,70.0
374,2021-03-16,81.0
375,2021-03-17,105.0
376,2021-03-18,134.0
377,2021-03-19,138.0
378,2021-03-20,85.0
379,2021-03-21,104.0
380,2021-03-22,46.0
381,2021-03-23,107.0
382,2021-03-24,165.0
383,2021-03-25,-20.0
384,2021-03-26,94.0
385,2021-03-27,119.0
386,2021-03-28,81.0
387,2021-03-29,44.0
388,2021-03-30,109.0
389,2021-03-31,73.0
390,2021-04-01,73.0
391,2021-04-02,63.0
392,2021-04-03,57.0
393,2021-04-04,58.0
394,2021-04-05,46.0
395,2021-04-06,44.0
396,2021-04-07,46.0
