,date,value
38,2020-04-25,*
39,2020-04-26,*
40,2020-04-27,*
41,2020-04-28,5
42,2020-04-29,*
43,2020-04-30,*
44,2020-05-01,*
45,2020-05-02,*
46,2020-05-03,*
47,2020-05-04,*
48,2020-05-05,*
49,2020-05-06,*
50,2020-05-07,*
51,2020-05-08,*
52,2020-05-09,*
53,2020-05-10,*
54,2020-05-11,*
55,2020-05-12,*
56,2020-05-13,*
57,2020-05-14,*
58,2020-05-15,*
59,2020-05-16,*
60,2020-05-17,*
61,2020-05-18,*
62,2020-05-19,*
63,2020-05-20,*
64,2020-05-21,*
65,2020-05-22,*
66,2020-05-23,*
67,2020-05-24,*
68,2020-05-25,*
