,date,value
17,2020-04-04,57
18,2020-04-05,57
19,2020-04-06,51
20,2020-04-07,54
21,2020-04-08,56
22,2020-04-09,67
23,2020-04-10,64
24,2020-04-11,62
25,2020-04-12,50
26,2020-04-13,54
27,2020-04-14,57
28,2020-04-15,55
29,2020-04-16,66
30,2020-04-17,56
31,2020-04-18,52
32,2020-04-19,57
33,2020-04-20,55
34,2020-04-21,54
35,2020-04-22,52
36,2020-04-23,40
37,2020-04-24,40
38,2020-04-25,56
39,2020-04-26,49
40,2020-04-27,40
41,2020-04-28,49
42,2020-04-29,37
43,2020-04-30,43
44,2020-05-01,37
45,2020-05-02,36
46,2020-05-03,35
47,2020-05-04,30
