Area code,date,value
E08000030,2020-03-01,1
E08000030,2020-03-10,2
E08000030,2020-03-11,7
E08000030,2020-03-12,14
E08000030,2020-03-13,16
E08000030,2020-03-14,18
E08000030,2020-03-15,22
E08000030,2020-03-16,23
E08000030,2020-03-17,27
E08000030,2020-03-18,32
E08000030,2020-03-19,40
E08000030,2020-03-20,49
E08000030,2020-03-21,61
E08000030,2020-03-22,71
E08000030,2020-03-23,90
E08000030,2020-03-24,106
E08000030,2020-03-25,122
E08000030,2020-03-26,141
E08000030,2020-03-27,160
E08000030,2020-03-28,195
E08000030,2020-03-29,216
E08000030,2020-03-30,243
E08000030,2020-03-31,273
E08000030,2020-04-01,309
E08000030,2020-04-02,357
E08000030,2020-04-03,384
E08000030,2020-04-04,410
E08000030,2020-04-05,427
E08000030,2020-04-06,460
E08000030,2020-04-07,493
E08000030,2020-04-08,512
E08000030,2020-04-09,544
E08000030,2020-04-10,565
E08000030,2020-04-11,574
E08000030,2020-04-12,587
E08000030,2020-04-13,609
E08000030,2020-04-14,631
E08000030,2020-04-15,650
E08000030,2020-04-16,673
E08000030,2020-04-17,707
E08000030,2020-04-18,719
E08000030,2020-04-19,729
E08000030,2020-04-20,764
E08000030,2020-04-21,801
E08000030,2020-04-22,821
E08000030,2020-04-23,838
E08000030,2020-04-24,883
E08000030,2020-04-25,905
E08000030,2020-04-26,922
E08000030,2020-04-27,948
E08000030,2020-04-28,976
E08000030,2020-04-29,986
E08000030,2020-04-30,1007
E08000030,2020-05-01,1030
E08000030,2020-05-02,1031
E08000030,2020-05-03,1035
E08000030,2020-05-04,1038
E08000030,2020-05-05,1052
E08000030,2020-05-06,1056
E08000030,2020-05-07,1058
E08000030,2020-05-08,1060
E08000030,2020-05-10,1060
