Area code,date,value
E06000042,2020-02-23,1
E06000042,2020-03-03,2
E06000042,2020-03-06,3
E06000042,2020-03-12,4
E06000042,2020-03-14,5
E06000042,2020-03-15,6
E06000042,2020-03-17,9
E06000042,2020-03-18,21
E06000042,2020-03-19,27
E06000042,2020-03-20,29
E06000042,2020-03-21,33
E06000042,2020-03-22,35
E06000042,2020-03-23,57
E06000042,2020-03-24,71
E06000042,2020-03-25,81
E06000042,2020-03-26,88
E06000042,2020-03-27,98
E06000042,2020-03-28,108
E06000042,2020-03-29,118
E06000042,2020-03-30,132
E06000042,2020-03-31,149
E06000042,2020-04-01,163
E06000042,2020-04-02,175
E06000042,2020-04-03,187
E06000042,2020-04-04,197
E06000042,2020-04-05,217
E06000042,2020-04-06,236
E06000042,2020-04-07,256
E06000042,2020-04-08,267
E06000042,2020-04-09,280
E06000042,2020-04-10,297
E06000042,2020-04-11,311
E06000042,2020-04-12,317
E06000042,2020-04-13,332
E06000042,2020-04-14,348
E06000042,2020-04-15,360
E06000042,2020-04-16,376
E06000042,2020-04-17,389
E06000042,2020-04-18,394
E06000042,2020-04-19,401
E06000042,2020-04-20,406
E06000042,2020-04-21,415
E06000042,2020-04-22,425
E06000042,2020-04-23,431
E06000042,2020-04-24,436
E06000042,2020-04-25,440
E06000042,2020-04-26,443
E06000042,2020-04-27,449
E06000042,2020-04-28,450
E06000042,2020-04-29,465
E06000042,2020-04-30,478
E06000042,2020-05-01,479
E06000042,2020-05-02,480
E06000042,2020-05-03,484
E06000042,2020-05-04,488
E06000042,2020-05-05,492
E06000042,2020-05-06,495
E06000042,2020-05-07,497
E06000042,2020-05-10,497
