Area code,date,value
E07000098,2020-03-03,1
E07000098,2020-03-04,2
E07000098,2020-03-11,3
E07000098,2020-03-13,5
E07000098,2020-03-14,6
E07000098,2020-03-15,8
E07000098,2020-03-16,11
E07000098,2020-03-18,17
E07000098,2020-03-19,22
E07000098,2020-03-20,25
E07000098,2020-03-21,27
E07000098,2020-03-22,33
E07000098,2020-03-23,42
E07000098,2020-03-24,52
E07000098,2020-03-25,64
E07000098,2020-03-26,74
E07000098,2020-03-27,84
E07000098,2020-03-28,92
E07000098,2020-03-29,100
E07000098,2020-03-30,115
E07000098,2020-03-31,131
E07000098,2020-04-01,142
E07000098,2020-04-02,160
E07000098,2020-04-03,173
E07000098,2020-04-04,178
E07000098,2020-04-05,187
E07000098,2020-04-06,198
E07000098,2020-04-07,212
E07000098,2020-04-08,229
E07000098,2020-04-09,242
E07000098,2020-04-10,252
E07000098,2020-04-11,256
E07000098,2020-04-12,265
E07000098,2020-04-13,275
E07000098,2020-04-15,283
E07000098,2020-04-16,291
E07000098,2020-04-17,297
E07000098,2020-04-18,303
E07000098,2020-04-19,309
E07000098,2020-04-20,315
E07000098,2020-04-21,323
E07000098,2020-04-22,326
E07000098,2020-04-23,327
E07000098,2020-04-24,332
E07000098,2020-04-25,335
E07000098,2020-04-26,336
E07000098,2020-04-27,339
E07000098,2020-04-28,347
E07000098,2020-04-29,355
E07000098,2020-04-30,359
E07000098,2020-05-01,361
E07000098,2020-05-02,368
E07000098,2020-05-04,373
E07000098,2020-05-05,374
E07000098,2020-05-06,375
E07000098,2020-05-10,375
