Area code,date,value
E06000009,2020-03-10,1
E06000009,2020-03-12,2
E06000009,2020-03-14,3
E06000009,2020-03-16,4
E06000009,2020-03-17,6
E06000009,2020-03-20,7
E06000009,2020-03-21,8
E06000009,2020-03-23,9
E06000009,2020-03-24,10
E06000009,2020-03-25,11
E06000009,2020-03-26,15
E06000009,2020-03-27,17
E06000009,2020-03-28,22
E06000009,2020-03-29,26
E06000009,2020-03-30,32
E06000009,2020-03-31,44
E06000009,2020-04-01,49
E06000009,2020-04-02,67
E06000009,2020-04-03,75
E06000009,2020-04-04,89
E06000009,2020-04-05,92
E06000009,2020-04-06,98
E06000009,2020-04-07,108
E06000009,2020-04-08,121
E06000009,2020-04-09,132
E06000009,2020-04-10,149
E06000009,2020-04-11,164
E06000009,2020-04-12,175
E06000009,2020-04-13,190
E06000009,2020-04-14,198
E06000009,2020-04-15,211
E06000009,2020-04-16,227
E06000009,2020-04-17,247
E06000009,2020-04-18,270
E06000009,2020-04-19,291
E06000009,2020-04-20,312
E06000009,2020-04-21,334
E06000009,2020-04-22,350
E06000009,2020-04-23,371
E06000009,2020-04-24,389
E06000009,2020-04-25,400
E06000009,2020-04-26,412
E06000009,2020-04-27,429
E06000009,2020-04-28,444
E06000009,2020-04-29,456
E06000009,2020-04-30,468
E06000009,2020-05-01,475
E06000009,2020-05-02,477
E06000009,2020-05-03,482
E06000009,2020-05-04,489
E06000009,2020-05-05,494
E06000009,2020-05-06,502
E06000009,2020-05-07,505
E06000009,2020-05-08,506
E06000009,2020-05-09,507
E06000009,2020-05-10,508
