Area code,date,value
E07000129,2020-03-05,1
E07000129,2020-03-11,2
E07000129,2020-03-15,4
E07000129,2020-03-16,6
E07000129,2020-03-18,8
E07000129,2020-03-19,9
E07000129,2020-03-20,12
E07000129,2020-03-21,14
E07000129,2020-03-22,21
E07000129,2020-03-23,24
E07000129,2020-03-24,25
E07000129,2020-03-26,29
E07000129,2020-03-27,32
E07000129,2020-03-28,35
E07000129,2020-03-29,36
E07000129,2020-03-31,40
E07000129,2020-04-01,48
E07000129,2020-04-02,50
E07000129,2020-04-03,56
E07000129,2020-04-05,59
E07000129,2020-04-06,67
E07000129,2020-04-07,69
E07000129,2020-04-08,71
E07000129,2020-04-09,76
E07000129,2020-04-10,80
E07000129,2020-04-11,82
E07000129,2020-04-13,83
E07000129,2020-04-14,84
E07000129,2020-04-15,89
E07000129,2020-04-16,92
E07000129,2020-04-17,105
E07000129,2020-04-19,109
E07000129,2020-04-20,111
E07000129,2020-04-21,116
E07000129,2020-04-22,122
E07000129,2020-04-23,124
E07000129,2020-04-24,125
E07000129,2020-04-25,128
E07000129,2020-04-27,130
E07000129,2020-04-28,132
E07000129,2020-04-29,139
E07000129,2020-04-30,145
E07000129,2020-05-01,146
E07000129,2020-05-02,147
E07000129,2020-05-03,148
E07000129,2020-05-04,152
E07000129,2020-05-05,154
E07000129,2020-05-06,157
E07000129,2020-05-07,160
E07000129,2020-05-08,161
E07000129,2020-05-09,162
E07000129,2020-05-10,162
