Area code,date,value
E07000005,2020-03-01,1
E07000005,2020-03-09,2
E07000005,2020-03-10,4
E07000005,2020-03-11,6
E07000005,2020-03-12,8
E07000005,2020-03-13,9
E07000005,2020-03-16,11
E07000005,2020-03-17,12
E07000005,2020-03-18,15
E07000005,2020-03-20,16
E07000005,2020-03-21,20
E07000005,2020-03-22,22
E07000005,2020-03-23,24
E07000005,2020-03-24,26
E07000005,2020-03-25,31
E07000005,2020-03-27,37
E07000005,2020-03-28,42
E07000005,2020-03-29,43
E07000005,2020-03-30,50
E07000005,2020-03-31,55
E07000005,2020-04-01,59
E07000005,2020-04-02,71
E07000005,2020-04-03,77
E07000005,2020-04-04,84
E07000005,2020-04-05,85
E07000005,2020-04-06,88
E07000005,2020-04-07,93
E07000005,2020-04-08,94
E07000005,2020-04-09,97
E07000005,2020-04-10,103
E07000005,2020-04-11,108
E07000005,2020-04-13,112
E07000005,2020-04-14,117
E07000005,2020-04-15,123
E07000005,2020-04-16,124
E07000005,2020-04-17,131
E07000005,2020-04-18,134
E07000005,2020-04-19,137
E07000005,2020-04-20,141
E07000005,2020-04-21,144
E07000005,2020-04-22,151
E07000005,2020-04-23,154
E07000005,2020-04-24,158
E07000005,2020-04-27,162
E07000005,2020-04-28,166
E07000005,2020-04-30,167
E07000005,2020-05-01,168
E07000005,2020-05-02,170
E07000005,2020-05-04,173
E07000005,2020-05-06,175
E07000005,2020-05-10,175
