Area code,date,value
E07000111,2020-03-11,1
E07000111,2020-03-12,2
E07000111,2020-03-16,3
E07000111,2020-03-19,4
E07000111,2020-03-21,5
E07000111,2020-03-22,8
E07000111,2020-03-23,9
E07000111,2020-03-24,17
E07000111,2020-03-25,21
E07000111,2020-03-26,25
E07000111,2020-03-27,32
E07000111,2020-03-28,36
E07000111,2020-03-29,38
E07000111,2020-03-30,46
E07000111,2020-03-31,54
E07000111,2020-04-01,58
E07000111,2020-04-02,68
E07000111,2020-04-03,79
E07000111,2020-04-04,85
E07000111,2020-04-05,92
E07000111,2020-04-06,100
E07000111,2020-04-07,104
E07000111,2020-04-08,113
E07000111,2020-04-09,123
E07000111,2020-04-10,129
E07000111,2020-04-11,130
E07000111,2020-04-12,139
E07000111,2020-04-13,144
E07000111,2020-04-15,151
E07000111,2020-04-16,153
E07000111,2020-04-17,156
E07000111,2020-04-18,162
E07000111,2020-04-19,164
E07000111,2020-04-20,166
E07000111,2020-04-21,167
E07000111,2020-04-22,171
E07000111,2020-04-23,172
E07000111,2020-04-24,174
E07000111,2020-04-25,176
E07000111,2020-04-26,177
E07000111,2020-04-27,181
E07000111,2020-04-28,188
E07000111,2020-04-29,192
E07000111,2020-04-30,195
E07000111,2020-05-01,198
E07000111,2020-05-02,199
E07000111,2020-05-03,201
E07000111,2020-05-05,203
E07000111,2020-05-06,208
E07000111,2020-05-07,209
E07000111,2020-05-10,209
