Area code,date,value
E07000243,2020-02-03,1
E07000243,2020-03-10,2
E07000243,2020-03-11,3
E07000243,2020-03-15,5
E07000243,2020-03-18,7
E07000243,2020-03-23,8
E07000243,2020-03-25,10
E07000243,2020-03-26,12
E07000243,2020-03-28,14
E07000243,2020-03-29,22
E07000243,2020-03-30,26
E07000243,2020-03-31,28
E07000243,2020-04-01,33
E07000243,2020-04-02,41
E07000243,2020-04-03,48
E07000243,2020-04-04,57
E07000243,2020-04-05,62
E07000243,2020-04-06,70
E07000243,2020-04-07,79
E07000243,2020-04-08,85
E07000243,2020-04-09,89
E07000243,2020-04-10,93
E07000243,2020-04-11,100
E07000243,2020-04-12,104
E07000243,2020-04-13,109
E07000243,2020-04-14,114
E07000243,2020-04-15,119
E07000243,2020-04-16,125
E07000243,2020-04-17,129
E07000243,2020-04-18,133
E07000243,2020-04-19,134
E07000243,2020-04-20,136
E07000243,2020-04-21,142
E07000243,2020-04-22,144
E07000243,2020-04-23,145
E07000243,2020-04-24,148
E07000243,2020-04-25,150
E07000243,2020-04-26,151
E07000243,2020-04-27,156
E07000243,2020-04-28,157
E07000243,2020-04-29,162
E07000243,2020-04-30,163
E07000243,2020-05-01,164
E07000243,2020-05-02,166
E07000243,2020-05-03,167
E07000243,2020-05-05,173
E07000243,2020-05-07,174
E07000243,2020-05-08,175
E07000243,2020-05-10,175
