Area code,date,value
E06000006,2020-03-12,2
E06000006,2020-03-13,3
E06000006,2020-03-14,4
E06000006,2020-03-16,5
E06000006,2020-03-17,7
E06000006,2020-03-20,8
E06000006,2020-03-24,13
E06000006,2020-03-25,16
E06000006,2020-03-26,18
E06000006,2020-03-27,25
E06000006,2020-03-28,34
E06000006,2020-03-29,36
E06000006,2020-03-30,48
E06000006,2020-03-31,57
E06000006,2020-04-01,65
E06000006,2020-04-02,79
E06000006,2020-04-03,97
E06000006,2020-04-04,109
E06000006,2020-04-05,124
E06000006,2020-04-06,148
E06000006,2020-04-07,160
E06000006,2020-04-08,174
E06000006,2020-04-09,189
E06000006,2020-04-10,201
E06000006,2020-04-11,212
E06000006,2020-04-12,216
E06000006,2020-04-13,224
E06000006,2020-04-14,234
E06000006,2020-04-15,245
E06000006,2020-04-16,255
E06000006,2020-04-17,265
E06000006,2020-04-18,271
E06000006,2020-04-19,280
E06000006,2020-04-20,287
E06000006,2020-04-21,292
E06000006,2020-04-22,296
E06000006,2020-04-23,301
E06000006,2020-04-24,306
E06000006,2020-04-25,307
E06000006,2020-04-27,313
E06000006,2020-04-28,317
E06000006,2020-04-29,324
E06000006,2020-04-30,330
E06000006,2020-05-01,332
E06000006,2020-05-02,334
E06000006,2020-05-03,336
E06000006,2020-05-04,338
E06000006,2020-05-05,340
E06000006,2020-05-06,341
E06000006,2020-05-07,343
E06000006,2020-05-08,347
E06000006,2020-05-10,347
