Area code,date,value
E07000198,2020-03-12,1
E07000198,2020-03-14,2
E07000198,2020-03-16,3
E07000198,2020-03-18,4
E07000198,2020-03-19,5
E07000198,2020-03-20,6
E07000198,2020-03-21,8
E07000198,2020-03-22,9
E07000198,2020-03-23,12
E07000198,2020-03-24,13
E07000198,2020-03-25,14
E07000198,2020-03-26,21
E07000198,2020-03-27,24
E07000198,2020-03-28,26
E07000198,2020-03-29,27
E07000198,2020-03-31,31
E07000198,2020-04-01,37
E07000198,2020-04-02,38
E07000198,2020-04-03,39
E07000198,2020-04-05,40
E07000198,2020-04-06,43
E07000198,2020-04-07,47
E07000198,2020-04-08,50
E07000198,2020-04-09,55
E07000198,2020-04-10,61
E07000198,2020-04-11,66
E07000198,2020-04-12,70
E07000198,2020-04-13,77
E07000198,2020-04-14,81
E07000198,2020-04-15,87
E07000198,2020-04-16,93
E07000198,2020-04-17,99
E07000198,2020-04-18,104
E07000198,2020-04-19,109
E07000198,2020-04-20,115
E07000198,2020-04-21,122
E07000198,2020-04-22,129
E07000198,2020-04-23,136
E07000198,2020-04-25,140
E07000198,2020-04-26,142
E07000198,2020-04-27,146
E07000198,2020-04-28,153
E07000198,2020-04-29,156
E07000198,2020-04-30,159
E07000198,2020-05-02,162
E07000198,2020-05-03,163
E07000198,2020-05-04,165
E07000198,2020-05-05,166
E07000198,2020-05-06,172
E07000198,2020-05-07,173
E07000198,2020-05-08,178
E07000198,2020-05-09,179
E07000198,2020-05-10,179
