Area code,date,value
E07000156,2020-03-12,1
E07000156,2020-03-20,4
E07000156,2020-03-23,6
E07000156,2020-03-26,9
E07000156,2020-03-28,11
E07000156,2020-03-29,15
E07000156,2020-03-30,24
E07000156,2020-03-31,29
E07000156,2020-04-01,35
E07000156,2020-04-02,41
E07000156,2020-04-03,49
E07000156,2020-04-04,53
E07000156,2020-04-05,56
E07000156,2020-04-06,60
E07000156,2020-04-07,62
E07000156,2020-04-08,64
E07000156,2020-04-09,66
E07000156,2020-04-10,68
E07000156,2020-04-11,71
E07000156,2020-04-12,73
E07000156,2020-04-14,74
E07000156,2020-04-15,78
E07000156,2020-04-16,80
E07000156,2020-04-17,81
E07000156,2020-04-19,85
E07000156,2020-04-21,87
E07000156,2020-04-22,88
E07000156,2020-04-23,89
E07000156,2020-04-24,90
E07000156,2020-04-26,91
E07000156,2020-04-27,93
E07000156,2020-04-29,94
E07000156,2020-04-30,95
E07000156,2020-05-01,97
E07000156,2020-05-02,98
E07000156,2020-05-03,99
E07000156,2020-05-04,100
E07000156,2020-05-05,104
E07000156,2020-05-06,109
E07000156,2020-05-07,111
E07000156,2020-05-08,112
E07000156,2020-05-09,114
E07000156,2020-05-10,114
