Area code,date,value
E07000179,2020-03-03,1
E07000179,2020-03-07,2
E07000179,2020-03-11,3
E07000179,2020-03-15,4
E07000179,2020-03-17,6
E07000179,2020-03-18,8
E07000179,2020-03-19,12
E07000179,2020-03-20,13
E07000179,2020-03-21,14
E07000179,2020-03-22,15
E07000179,2020-03-23,21
E07000179,2020-03-24,27
E07000179,2020-03-25,34
E07000179,2020-03-26,37
E07000179,2020-03-27,43
E07000179,2020-03-28,46
E07000179,2020-03-29,50
E07000179,2020-03-30,57
E07000179,2020-03-31,65
E07000179,2020-04-01,78
E07000179,2020-04-02,87
E07000179,2020-04-03,98
E07000179,2020-04-04,102
E07000179,2020-04-05,110
E07000179,2020-04-06,124
E07000179,2020-04-07,129
E07000179,2020-04-08,138
E07000179,2020-04-09,151
E07000179,2020-04-10,165
E07000179,2020-04-11,172
E07000179,2020-04-12,182
E07000179,2020-04-13,193
E07000179,2020-04-14,198
E07000179,2020-04-15,203
E07000179,2020-04-16,216
E07000179,2020-04-17,226
E07000179,2020-04-18,232
E07000179,2020-04-19,239
E07000179,2020-04-20,244
E07000179,2020-04-21,246
E07000179,2020-04-22,248
E07000179,2020-04-23,262
E07000179,2020-04-24,265
E07000179,2020-04-25,274
E07000179,2020-04-26,277
E07000179,2020-04-27,279
E07000179,2020-04-28,284
E07000179,2020-04-29,287
E07000179,2020-04-30,292
E07000179,2020-05-01,295
E07000179,2020-05-02,299
E07000179,2020-05-04,309
E07000179,2020-05-05,320
E07000179,2020-05-06,321
E07000179,2020-05-07,322
E07000179,2020-05-08,323
E07000179,2020-05-10,323
