Area code,date,value
E07000218,2020-03-04,1
E07000218,2020-03-12,2
E07000218,2020-03-13,3
E07000218,2020-03-15,5
E07000218,2020-03-16,6
E07000218,2020-03-18,7
E07000218,2020-03-19,8
E07000218,2020-03-20,11
E07000218,2020-03-21,13
E07000218,2020-03-22,14
E07000218,2020-03-23,20
E07000218,2020-03-24,24
E07000218,2020-03-25,25
E07000218,2020-03-26,27
E07000218,2020-03-27,28
E07000218,2020-03-28,32
E07000218,2020-03-29,40
E07000218,2020-03-30,42
E07000218,2020-03-31,45
E07000218,2020-04-01,50
E07000218,2020-04-02,61
E07000218,2020-04-03,64
E07000218,2020-04-04,69
E07000218,2020-04-05,72
E07000218,2020-04-06,77
E07000218,2020-04-07,78
E07000218,2020-04-08,82
E07000218,2020-04-09,84
E07000218,2020-04-10,88
E07000218,2020-04-11,90
E07000218,2020-04-12,91
E07000218,2020-04-13,94
E07000218,2020-04-14,100
E07000218,2020-04-15,103
E07000218,2020-04-16,113
E07000218,2020-04-17,115
E07000218,2020-04-18,118
E07000218,2020-04-19,121
E07000218,2020-04-20,124
E07000218,2020-04-21,128
E07000218,2020-04-22,130
E07000218,2020-04-23,132
E07000218,2020-04-24,140
E07000218,2020-04-25,142
E07000218,2020-04-26,143
E07000218,2020-04-27,146
E07000218,2020-04-29,152
E07000218,2020-04-30,155
E07000218,2020-05-03,156
E07000218,2020-05-04,157
E07000218,2020-05-05,161
E07000218,2020-05-07,164
E07000218,2020-05-08,165
E07000218,2020-05-10,165
