Area code,date,value
E07000132,2020-03-11,1
E07000132,2020-03-12,2
E07000132,2020-03-17,3
E07000132,2020-03-18,5
E07000132,2020-03-19,7
E07000132,2020-03-20,9
E07000132,2020-03-21,10
E07000132,2020-03-22,15
E07000132,2020-03-23,17
E07000132,2020-03-24,21
E07000132,2020-03-25,23
E07000132,2020-03-26,26
E07000132,2020-03-27,33
E07000132,2020-03-28,37
E07000132,2020-03-29,38
E07000132,2020-03-30,41
E07000132,2020-03-31,44
E07000132,2020-04-01,49
E07000132,2020-04-02,50
E07000132,2020-04-03,56
E07000132,2020-04-04,62
E07000132,2020-04-05,68
E07000132,2020-04-06,72
E07000132,2020-04-07,81
E07000132,2020-04-09,90
E07000132,2020-04-10,98
E07000132,2020-04-11,101
E07000132,2020-04-12,105
E07000132,2020-04-13,108
E07000132,2020-04-14,115
E07000132,2020-04-15,117
E07000132,2020-04-16,129
E07000132,2020-04-17,138
E07000132,2020-04-18,140
E07000132,2020-04-19,141
E07000132,2020-04-20,147
E07000132,2020-04-21,159
E07000132,2020-04-22,165
E07000132,2020-04-23,167
E07000132,2020-04-24,173
E07000132,2020-04-25,175
E07000132,2020-04-27,181
E07000132,2020-04-28,183
E07000132,2020-04-29,187
E07000132,2020-04-30,188
E07000132,2020-05-01,193
E07000132,2020-05-02,197
E07000132,2020-05-03,199
E07000132,2020-05-04,201
E07000132,2020-05-05,210
E07000132,2020-05-06,212
E07000132,2020-05-07,216
E07000132,2020-05-08,219
E07000132,2020-05-09,220
E07000132,2020-05-10,220
