Area code,date,value
E07000144,2020-03-13,1
E07000144,2020-03-16,2
E07000144,2020-03-17,3
E07000144,2020-03-18,4
E07000144,2020-03-21,6
E07000144,2020-03-22,7
E07000144,2020-03-23,9
E07000144,2020-03-24,11
E07000144,2020-03-26,13
E07000144,2020-03-27,14
E07000144,2020-03-28,16
E07000144,2020-03-29,19
E07000144,2020-03-30,25
E07000144,2020-03-31,28
E07000144,2020-04-01,32
E07000144,2020-04-02,34
E07000144,2020-04-03,41
E07000144,2020-04-04,42
E07000144,2020-04-05,48
E07000144,2020-04-06,51
E07000144,2020-04-07,58
E07000144,2020-04-08,63
E07000144,2020-04-09,70
E07000144,2020-04-10,76
E07000144,2020-04-11,83
E07000144,2020-04-12,86
E07000144,2020-04-13,93
E07000144,2020-04-14,98
E07000144,2020-04-15,102
E07000144,2020-04-16,105
E07000144,2020-04-17,106
E07000144,2020-04-18,110
E07000144,2020-04-19,119
E07000144,2020-04-20,123
E07000144,2020-04-21,129
E07000144,2020-04-22,137
E07000144,2020-04-23,140
E07000144,2020-04-24,144
E07000144,2020-04-25,149
E07000144,2020-04-27,159
E07000144,2020-04-28,163
E07000144,2020-04-29,169
E07000144,2020-04-30,173
E07000144,2020-05-01,177
E07000144,2020-05-02,183
E07000144,2020-05-03,199
E07000144,2020-05-04,219
E07000144,2020-05-05,234
E07000144,2020-05-06,245
E07000144,2020-05-07,246
E07000144,2020-05-08,252
E07000144,2020-05-10,252
