Area code,date,value
E07000031,2020-03-05,1
E07000031,2020-03-07,2
E07000031,2020-03-08,5
E07000031,2020-03-11,7
E07000031,2020-03-12,12
E07000031,2020-03-13,13
E07000031,2020-03-14,15
E07000031,2020-03-16,18
E07000031,2020-03-17,24
E07000031,2020-03-18,35
E07000031,2020-03-19,51
E07000031,2020-03-20,55
E07000031,2020-03-21,65
E07000031,2020-03-22,67
E07000031,2020-03-23,72
E07000031,2020-03-24,87
E07000031,2020-03-25,106
E07000031,2020-03-26,119
E07000031,2020-03-27,138
E07000031,2020-03-28,142
E07000031,2020-03-29,153
E07000031,2020-03-30,159
E07000031,2020-03-31,180
E07000031,2020-04-01,194
E07000031,2020-04-02,213
E07000031,2020-04-03,223
E07000031,2020-04-04,241
E07000031,2020-04-05,257
E07000031,2020-04-06,283
E07000031,2020-04-07,291
E07000031,2020-04-08,303
E07000031,2020-04-09,316
E07000031,2020-04-10,318
E07000031,2020-04-11,323
E07000031,2020-04-12,339
E07000031,2020-04-13,351
E07000031,2020-04-14,359
E07000031,2020-04-15,362
E07000031,2020-04-16,370
E07000031,2020-04-17,380
E07000031,2020-04-18,386
E07000031,2020-04-19,388
E07000031,2020-04-20,396
E07000031,2020-04-21,405
E07000031,2020-04-22,410
E07000031,2020-04-23,422
E07000031,2020-04-24,428
E07000031,2020-04-25,437
E07000031,2020-04-26,439
E07000031,2020-04-27,453
E07000031,2020-04-28,463
E07000031,2020-04-29,480
E07000031,2020-04-30,495
E07000031,2020-05-01,496
E07000031,2020-05-02,502
E07000031,2020-05-04,505
E07000031,2020-05-05,506
E07000031,2020-05-06,507
E07000031,2020-05-07,508
E07000031,2020-05-08,509
E07000031,2020-05-10,509
