Area code,date,value
E07000192,2020-03-03,1
E07000192,2020-03-10,2
E07000192,2020-03-13,4
E07000192,2020-03-14,5
E07000192,2020-03-19,7
E07000192,2020-03-20,8
E07000192,2020-03-21,9
E07000192,2020-03-22,11
E07000192,2020-03-23,15
E07000192,2020-03-24,17
E07000192,2020-03-25,19
E07000192,2020-03-26,24
E07000192,2020-03-27,32
E07000192,2020-03-28,35
E07000192,2020-03-29,39
E07000192,2020-03-30,44
E07000192,2020-03-31,50
E07000192,2020-04-01,57
E07000192,2020-04-02,68
E07000192,2020-04-03,72
E07000192,2020-04-04,80
E07000192,2020-04-05,84
E07000192,2020-04-06,88
E07000192,2020-04-07,96
E07000192,2020-04-08,99
E07000192,2020-04-09,103
E07000192,2020-04-10,107
E07000192,2020-04-11,114
E07000192,2020-04-12,117
E07000192,2020-04-13,119
E07000192,2020-04-14,122
E07000192,2020-04-15,125
E07000192,2020-04-16,135
E07000192,2020-04-17,139
E07000192,2020-04-18,146
E07000192,2020-04-19,149
E07000192,2020-04-20,154
E07000192,2020-04-21,161
E07000192,2020-04-22,166
E07000192,2020-04-23,168
E07000192,2020-04-24,171
E07000192,2020-04-25,174
E07000192,2020-04-26,177
E07000192,2020-04-27,179
E07000192,2020-04-28,182
E07000192,2020-04-29,184
E07000192,2020-04-30,186
E07000192,2020-05-01,188
E07000192,2020-05-03,190
E07000192,2020-05-04,192
E07000192,2020-05-05,195
E07000192,2020-05-07,196
E07000192,2020-05-08,197
E07000192,2020-05-10,197
