Area code,date,value
E07000189,2020-03-10,1
E07000189,2020-03-13,2
E07000189,2020-03-20,4
E07000189,2020-03-21,5
E07000189,2020-03-23,6
E07000189,2020-03-24,7
E07000189,2020-03-26,9
E07000189,2020-03-27,10
E07000189,2020-03-28,12
E07000189,2020-03-29,13
E07000189,2020-03-30,16
E07000189,2020-03-31,19
E07000189,2020-04-01,20
E07000189,2020-04-02,25
E07000189,2020-04-03,30
E07000189,2020-04-04,33
E07000189,2020-04-05,36
E07000189,2020-04-06,39
E07000189,2020-04-07,46
E07000189,2020-04-08,49
E07000189,2020-04-09,54
E07000189,2020-04-10,55
E07000189,2020-04-11,57
E07000189,2020-04-12,62
E07000189,2020-04-13,66
E07000189,2020-04-14,67
E07000189,2020-04-15,74
E07000189,2020-04-16,79
E07000189,2020-04-17,85
E07000189,2020-04-18,90
E07000189,2020-04-19,91
E07000189,2020-04-20,96
E07000189,2020-04-21,98
E07000189,2020-04-22,101
E07000189,2020-04-23,102
E07000189,2020-04-24,104
E07000189,2020-04-25,109
E07000189,2020-04-26,112
E07000189,2020-04-27,116
E07000189,2020-04-28,118
E07000189,2020-04-29,127
E07000189,2020-04-30,134
E07000189,2020-05-01,137
E07000189,2020-05-02,141
E07000189,2020-05-04,142
E07000189,2020-05-05,143
E07000189,2020-05-07,145
E07000189,2020-05-08,147
E07000189,2020-05-09,149
E07000189,2020-05-10,149
