Area code,date,value
E07000043,2020-03-31,1
E07000043,2020-04-01,3
E07000043,2020-04-02,5
E07000043,2020-04-04,9
E07000043,2020-04-05,15
E07000043,2020-04-06,16
E07000043,2020-04-07,17
E07000043,2020-04-09,18
E07000043,2020-04-10,23
E07000043,2020-04-11,25
E07000043,2020-04-12,27
E07000043,2020-04-14,31
E07000043,2020-04-15,33
E07000043,2020-04-16,34
E07000043,2020-04-17,41
E07000043,2020-04-18,44
E07000043,2020-04-20,48
E07000043,2020-04-21,52
E07000043,2020-04-22,54
E07000043,2020-04-23,55
E07000043,2020-04-24,60
E07000043,2020-04-25,61
E07000043,2020-04-27,64
E07000043,2020-04-28,66
E07000043,2020-04-29,76
E07000043,2020-04-30,79
E07000043,2020-05-03,80
E07000043,2020-05-05,82
E07000043,2020-05-07,83
E07000043,2020-05-10,84
