,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,97,-21.0,6.0,97.0,-39.0,-43.0,16.0,-49.0,-6.0,10.0,-63.0,-55.0,18.0
1,98,-28.0,5.0,19.0,-42.0,-43.0,17.0,-51.0,-6.0,3.0,-63.0,-55.0,18.0
2,99,-28.0,7.0,106.0,-39.0,-41.0,16.0,-54.0,-5.0,8.0,-59.0,-54.0,18.0
3,100,-37.0,7.0,114.0,-40.0,-10.0,9.0,-65.0,-13.0,-34.0,-65.0,-32.0,11.0
4,101,-31.0,-1.0,106.0,-36.0,-8.0,7.0,-63.0,-10.0,-15.0,-60.0,-29.0,10.0
5,102,-16.0,8.0,,-34.0,-41.0,14.0,-22.0,5.0,34.0,-26.0,-44.0,11.0
6,103,-19.0,7.0,,-38.0,-42.0,15.0,-25.0,8.0,42.0,-31.0,-43.0,12.0
7,104,-19.0,9.0,,-33.0,-41.0,14.0,-26.0,6.0,33.0,-31.0,-43.0,12.0
8,105,-18.0,12.0,,-34.0,-40.0,14.0,-26.0,8.0,40.0,-35.0,-43.0,12.0
9,106,-24.0,10.0,112.0,-36.0,-40.0,14.0,-34.0,6.0,33.0,-33.0,-42.0,11.0
10,107,-35.0,10.0,146.0,-35.0,-9.0,7.0,-42.0,3.0,20.0,-24.0,-26.0,5.0
11,108,-34.0,0.0,44.0,-36.0,-8.0,7.0,-39.0,3.0,31.0,-24.0,-24.0,5.0
12,109,-15.0,10.0,,-30.0,-31.0,12.0,-27.0,8.0,50.0,-36.0,-42.0,11.0
13,110,-16.0,12.0,87.0,-31.0,-31.0,12.0,-28.0,6.0,56.0,-38.0,-42.0,12.0
14,111,-17.0,12.0,113.0,-27.0,-29.0,11.0,-28.0,3.0,27.0,-37.0,-42.0,12.0
15,112,-19.0,18.0,,-29.0,-28.0,12.0,-26.0,8.0,53.0,-38.0,-40.0,11.0
16,113,-24.0,14.0,107.0,-32.0,-27.0,11.0,-31.0,6.0,38.0,-34.0,-40.0,11.0
17,114,-34.0,15.0,144.0,-31.0,-5.0,6.0,-37.0,5.0,20.0,-24.0,-24.0,5.0
18,115,-26.0,6.0,115.0,-28.0,-1.0,4.0,-34.0,2.0,29.0,-29.0,-22.0,5.0
19,116,5.0,7.0,58.0,-14.0,-28.0,9.0,-25.0,5.0,41.0,-35.0,-41.0,12.0
20,117,-5.0,6.0,33.0,-25.0,-29.0,11.0,-29.0,0.0,10.0,-38.0,-41.0,13.0
21,118,-1.0,9.0,61.0,-18.0,-27.0,10.0,-26.0,4.0,16.0,-40.0,-41.0,13.0
22,119,-2.0,14.0,68.0,-17.0,-27.0,10.0,-27.0,7.0,20.0,-37.0,-41.0,13.0
23,120,-6.0,10.0,64.0,-13.0,-27.0,8.0,-34.0,7.0,-5.0,-30.0,-40.0,12.0
24,121,-17.0,9.0,87.0,-5.0,-7.0,4.0,-30.0,8.0,15.0,-11.0,-25.0,6.0
25,122,-13.0,-4.0,62.0,-18.0,-7.0,3.0,-27.0,6.0,30.0,-14.0,-26.0,5.0
26,123,-4.0,-2.0,18.0,-32.0,-60.0,16.0,-19.0,-4.0,-3.0,-28.0,-77.0,22.0
27,124,-4.0,13.0,43.0,-21.0,-29.0,10.0,-31.0,6.0,-15.0,-35.0,-40.0,13.0
28,125,-6.0,7.0,59.0,-20.0,-27.0,10.0,-28.0,3.0,19.0,-39.0,-40.0,12.0
29,126,-5.0,13.0,33.0,-24.0,-35.0,12.0,-29.0,8.0,20.0,-38.0,-41.0,12.0
30,127,-11.0,9.0,62.0,-17.0,-25.0,9.0,-34.0,5.0,5.0,-31.0,-38.0,12.0
31,128,-22.0,6.0,21.0,-18.0,-7.0,7.0,-45.0,-2.0,-51.0,-30.0,-27.0,11.0
32,129,-10.0,2.0,50.0,-14.0,-3.0,4.0,-35.0,0.0,14.0,-24.0,-22.0,6.0
33,130,-2.0,9.0,,-18.0,-27.0,9.0,-27.0,3.0,24.0,-34.0,-40.0,12.0
34,131,-2.0,11.0,94.0,-21.0,-26.0,9.0,-27.0,4.0,23.0,-37.0,-39.0,12.0
35,132,-4.0,13.0,51.0,-24.0,-26.0,10.0,-28.0,7.0,21.0,-38.0,-39.0,12.0
36,133,-7.0,16.0,68.0,-21.0,-25.0,10.0,-27.0,8.0,43.0,-36.0,-39.0,12.0
37,134,-9.0,13.0,61.0,-21.0,-24.0,9.0,-33.0,10.0,10.0,-31.0,-38.0,11.0
38,135,-18.0,8.0,74.0,-16.0,-4.0,4.0,-40.0,4.0,-20.0,-21.0,-22.0,7.0
39,136,-6.0,4.0,86.0,-14.0,1.0,2.0,-36.0,4.0,-4.0,-23.0,-21.0,6.0
40,137,5.0,14.0,,-15.0,-25.0,9.0,-14.0,7.0,19.0,-25.0,-38.0,10.0
41,138,0.0,12.0,70.0,-22.0,-24.0,9.0,-11.0,9.0,47.0,-27.0,-38.0,10.0
42,139,2.0,14.0,88.0,-20.0,-24.0,9.0,-14.0,7.0,27.0,-30.0,-37.0,10.0
43,140,-3.0,15.0,29.0,-24.0,-25.0,10.0,-17.0,8.0,-2.0,-36.0,-37.0,11.0
44,141,-7.0,11.0,25.0,-21.0,-22.0,9.0,-22.0,9.0,-10.0,-24.0,-37.0,10.0
45,142,-8.0,12.0,102.0,-9.0,6.0,3.0,-21.0,14.0,16.0,-14.0,-17.0,3.0
46,143,-3.0,2.0,29.0,-17.0,3.0,3.0,-20.0,8.0,14.0,-15.0,-16.0,3.0
47,144,-1.0,10.0,60.0,-18.0,-26.0,9.0,-12.0,11.0,26.0,-27.0,-39.0,10.0
48,145,-1.0,14.0,61.0,-24.0,-24.0,10.0,-12.0,10.0,21.0,-33.0,-38.0,11.0
