,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,113,3.0,22.0,,29.0,0.0,1.0,-14.0,5.0,6.0,-9.0,-9.0,0.0
1,114,12.0,14.0,,32.0,-5.0,-1.0,-10.0,7.0,25.0,-9.0,-5.0,0.0
2,115,5.0,25.0,,5.0,-18.0,4.0,-5.0,10.0,16.0,-20.0,-29.0,6.0
3,116,9.0,26.0,,-6.0,-18.0,4.0,-4.0,11.0,23.0,-23.0,-27.0,5.0
4,117,11.0,25.0,,8.0,-20.0,4.0,-6.0,9.0,21.0,-23.0,-25.0,5.0
5,118,12.0,24.0,,7.0,-18.0,3.0,-2.0,11.0,26.0,-23.0,-25.0,5.0
6,119,7.0,24.0,,22.0,-19.0,2.0,-6.0,12.0,22.0,-12.0,-27.0,4.0
7,120,-1.0,16.0,,1.0,-6.0,1.0,-7.0,8.0,39.0,4.0,-10.0,-1.0
8,121,9.0,8.0,,23.0,-5.0,-1.0,11.0,17.0,44.0,-2.0,-5.0,-1.0
9,122,24.0,16.0,,16.0,-48.0,8.0,26.0,8.0,87.0,-18.0,-71.0,13.0
10,123,9.0,26.0,,-5.0,-19.0,4.0,5.0,20.0,33.0,-17.0,-26.0,5.0
11,124,6.0,23.0,,5.0,-20.0,4.0,2.0,12.0,18.0,-20.0,-24.0,5.0
12,125,13.0,24.0,,5.0,-19.0,4.0,5.0,16.0,45.0,-14.0,-25.0,4.0
13,126,-4.0,17.0,,4.0,-20.0,4.0,-6.0,13.0,4.0,-10.0,-26.0,5.0
14,127,4.0,14.0,,26.0,1.0,0.0,-6.0,9.0,12.0,3.0,-5.0,0.0
15,128,12.0,12.0,,31.0,-6.0,-2.0,-7.0,9.0,20.0,4.0,-3.0,-1.0
16,129,-3.0,17.0,,-8.0,-22.0,5.0,-6.0,11.0,32.0,-16.0,-28.0,5.0
17,130,6.0,26.0,,-5.0,-19.0,4.0,-3.0,13.0,40.0,-24.0,-26.0,5.0
18,131,6.0,24.0,,5.0,-19.0,3.0,-3.0,8.0,58.0,-19.0,-25.0,5.0
19,132,1.0,24.0,,3.0,-19.0,4.0,-3.0,10.0,91.0,-20.0,-25.0,5.0
20,133,-5.0,17.0,,-4.0,-21.0,4.0,-9.0,8.0,71.0,-12.0,-26.0,5.0
21,134,4.0,15.0,,33.0,0.0,0.0,-15.0,6.0,23.0,-7.0,-5.0,-1.0
22,135,5.0,13.0,,24.0,-6.0,0.0,-8.0,9.0,7.0,-10.0,-5.0,0.0
23,136,1.0,20.0,,-2.0,-21.0,5.0,-5.0,9.0,12.0,-24.0,-30.0,6.0
24,137,3.0,23.0,,-13.0,-20.0,4.0,-4.0,12.0,53.0,-22.0,-27.0,5.0
25,138,11.0,23.0,,7.0,-21.0,3.0,-6.0,8.0,36.0,-26.0,-26.0,4.0
26,139,5.0,19.0,,11.0,-24.0,5.0,-2.0,14.0,47.0,-22.0,-25.0,4.0
27,140,-6.0,17.0,,5.0,-21.0,4.0,-12.0,8.0,4.0,-16.0,-27.0,5.0
28,141,-4.0,12.0,,16.0,-3.0,1.0,-9.0,8.0,91.0,4.0,-9.0,-1.0
29,142,6.0,11.0,,22.0,-9.0,0.0,-12.0,8.0,44.0,-3.0,-6.0,-1.0
30,143,9.0,22.0,,10.0,-21.0,3.0,-4.0,13.0,32.0,-20.0,-29.0,6.0
31,144,10.0,25.0,,4.0,-20.0,4.0,-3.0,13.0,39.0,-24.0,-28.0,5.0
32,145,7.0,23.0,,5.0,-21.0,4.0,-3.0,11.0,20.0,-24.0,-26.0,5.0
33,146,6.0,25.0,,6.0,-19.0,4.0,0.0,14.0,30.0,-22.0,-26.0,5.0
34,147,3.0,23.0,,8.0,-25.0,3.0,-7.0,10.0,23.0,-14.0,-28.0,4.0
35,148,6.0,22.0,,48.0,2.0,-1.0,-7.0,11.0,37.0,1.0,-9.0,-2.0
36,149,22.0,20.0,,42.0,-8.0,-1.0,-1.0,15.0,26.0,-2.0,-7.0,-1.0
37,150,16.0,33.0,,19.0,-20.0,4.0,18.0,20.0,79.0,-13.0,-42.0,6.0
38,151,17.0,34.0,,3.0,-18.0,3.0,28.0,27.0,83.0,-18.0,-40.0,7.0
39,152,25.0,40.0,,31.0,-19.0,2.0,25.0,28.0,75.0,-12.0,-41.0,4.0
40,153,34.0,42.0,,37.0,-40.0,5.0,35.0,22.0,156.0,-11.0,-68.0,9.0
41,154,14.0,17.0,,23.0,-51.0,9.0,5.0,6.0,91.0,-19.0,-68.0,10.0
42,155,9.0,29.0,,86.0,-4.0,-1.0,-19.0,2.0,22.0,-17.0,-17.0,-1.0
43,156,18.0,19.0,,68.0,-5.0,-2.0,-18.0,0.0,-12.0,-17.0,-11.0,0.0
44,157,17.0,31.0,,27.0,-22.0,4.0,-2.0,12.0,24.0,-21.0,-33.0,6.0
45,158,15.0,32.0,,6.0,-20.0,3.0,0.0,14.0,53.0,-24.0,-29.0,5.0
46,159,4.0,23.0,,3.0,-23.0,5.0,-4.0,12.0,27.0,-24.0,-28.0,5.0
47,160,5.0,23.0,,7.0,-18.0,4.0,-4.0,11.0,43.0,-25.0,-29.0,5.0
48,161,0.0,21.0,,3.0,-20.0,3.0,-9.0,10.0,73.0,-11.0,-29.0,4.0
49,162,-7.0,14.0,,2.0,-4.0,2.0,-13.0,5.0,70.0,1.0,-11.0,-1.0
50,163,5.0,13.0,,11.0,-8.0,0.0,-9.0,9.0,14.0,-6.0,-8.0,0.0
51,164,8.0,25.0,,9.0,-21.0,4.0,-5.0,13.0,44.0,-19.0,-31.0,5.0
52,165,10.0,20.0,,0.0,-20.0,4.0,-2.0,13.0,75.0,-21.0,-30.0,5.0
53,166,16.0,29.0,,20.0,-19.0,3.0,-3.0,13.0,49.0,-20.0,-27.0,4.0
54,167,5.0,23.0,,7.0,-20.0,4.0,-3.0,17.0,70.0,-19.0,-27.0,4.0
55,168,-3.0,20.0,,-1.0,-22.0,4.0,-12.0,12.0,36.0,-13.0,-31.0,4.0
56,169,4.0,24.0,,27.0,-2.0,0.0,-10.0,12.0,42.0,2.0,-10.0,-2.0
57,170,18.0,23.0,,40.0,-5.0,-1.0,-5.0,13.0,40.0,-8.0,-4.0,-2.0
58,171,16.0,30.0,,27.0,-21.0,3.0,-6.0,12.0,55.0,-19.0,-31.0,5.0
59,172,12.0,28.0,,-10.0,-21.0,5.0,-5.0,15.0,63.0,-53.0,-30.0,6.0
60,173,9.0,24.0,,9.0,-21.0,4.0,-5.0,12.0,52.0,-33.0,-28.0,5.0
61,174,8.0,25.0,,-3.0,-21.0,4.0,-7.0,13.0,49.0,-54.0,-30.0,6.0
62,175,4.0,23.0,,10.0,-21.0,3.0,-10.0,9.0,24.0,-22.0,-31.0,4.0
63,176,3.0,21.0,,10.0,-2.0,0.0,-16.0,7.0,21.0,-46.0,-10.0,0.0
64,177,0.0,11.0,34.0,-1.0,-11.0,1.0,-7.0,11.0,38.0,-19.0,-6.0,-1.0
65,178,15.0,29.0,,16.0,-22.0,4.0,-4.0,11.0,30.0,-18.0,-34.0,7.0
66,179,5.0,25.0,,-18.0,-24.0,6.0,1.0,15.0,70.0,-19.0,-31.0,5.0
67,180,19.0,29.0,,17.0,-23.0,4.0,-4.0,11.0,41.0,-19.0,-28.0,5.0
68,181,16.0,30.0,,18.0,-27.0,5.0,-1.0,12.0,56.0,-20.0,-30.0,5.0
69,182,4.0,25.0,,14.0,-31.0,5.0,-9.0,9.0,16.0,-11.0,-32.0,5.0
70,183,1.0,17.0,,26.0,-3.0,1.0,-10.0,8.0,17.0,-4.0,-12.0,0.0
71,184,12.0,13.0,,26.0,-11.0,0.0,-6.0,8.0,26.0,0.0,-6.0,-1.0
72,185,11.0,27.0,,18.0,-31.0,5.0,-1.0,12.0,56.0,-15.0,-34.0,6.0
73,186,14.0,25.0,,8.0,-30.0,5.0,-2.0,13.0,71.0,-19.0,-31.0,5.0
74,187,4.0,21.0,,-3.0,-32.0,6.0,-6.0,9.0,46.0,-21.0,-30.0,6.0
75,188,7.0,25.0,,18.0,-30.0,5.0,2.0,14.0,67.0,-19.0,-31.0,5.0
76,189,-2.0,18.0,,8.0,-31.0,5.0,-9.0,12.0,99.0,-7.0,-33.0,4.0
77,190,-1.0,20.0,,47.0,-3.0,1.0,-14.0,6.0,112.0,6.0,-12.0,-1.0
78,191,17.0,21.0,,69.0,-7.0,-1.0,-11.0,13.0,32.0,-4.0,-9.0,-1.0
79,192,18.0,28.0,,39.0,-33.0,4.0,-1.0,16.0,49.0,-17.0,-35.0,6.0
80,193,14.0,26.0,,9.0,-31.0,5.0,-1.0,15.0,64.0,-21.0,-33.0,6.0
81,194,12.0,26.0,,19.0,-30.0,5.0,-2.0,15.0,61.0,-19.0,-31.0,5.0
82,195,11.0,25.0,,19.0,-28.0,5.0,1.0,14.0,59.0,-18.0,-31.0,6.0
83,196,-2.0,13.0,,13.0,-32.0,5.0,-13.0,4.0,33.0,-16.0,-32.0,5.0
84,197,2.0,18.0,,47.0,-4.0,0.0,-15.0,11.0,25.0,-4.0,-11.0,-1.0
85,198,15.0,19.0,,51.0,-13.0,-1.0,-14.0,10.0,19.0,-6.0,-8.0,0.0
86,199,22.0,41.0,,63.0,-35.0,7.0,-8.0,11.0,33.0,-28.0,-36.0,11.0
87,200,17.0,34.0,,17.0,-33.0,13.0,-11.0,6.0,16.0,-50.0,-38.0,18.0
88,201,19.0,31.0,,29.0,-30.0,5.0,1.0,16.0,47.0,-20.0,-30.0,6.0
89,202,15.0,30.0,,34.0,-28.0,5.0,8.0,18.0,65.0,-17.0,-29.0,5.0
