,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,79,-13.0,9.0,55.0,-9.0,-12.0,,-16.0,2.0,6.0,-18.0,-9.0,1.0
1,80,-11.0,10.0,43.0,-27.0,-33.0,7.0,-12.0,5.0,15.0,-27.0,-33.0,7.0
2,81,-15.0,12.0,45.0,-28.0,-30.0,7.0,-9.0,8.0,34.0,-29.0,-32.0,7.0
3,82,-12.0,7.0,53.0,-34.0,-30.0,8.0,-11.0,3.0,28.0,-29.0,-30.0,6.0
4,83,-12.0,13.0,41.0,-25.0,-30.0,7.0,-8.0,9.0,40.0,-30.0,-31.0,7.0
5,84,-14.0,18.0,45.0,-31.0,-30.0,6.0,-13.0,9.0,28.0,-17.0,-33.0,6.0
6,85,-11.0,28.0,54.0,-14.0,-13.0,,-13.0,12.0,15.0,-12.0,-14.0,0.0
7,86,-7.0,18.0,71.0,-1.0,-10.0,,-17.0,2.0,23.0,-16.0,-14.0,-1.0
8,87,-9.0,12.0,53.0,-29.0,-32.0,6.0,-13.0,5.0,2.0,-28.0,-34.0,8.0
9,88,-17.0,10.0,26.0,-32.0,-30.0,7.0,-11.0,5.0,18.0,-31.0,-34.0,8.0
10,89,-9.0,9.0,25.0,-33.0,-28.0,8.0,-17.0,-3.0,-20.0,-35.0,-32.0,9.0
11,90,-10.0,15.0,20.0,-31.0,-28.0,7.0,-14.0,2.0,-9.0,-32.0,-32.0,8.0
12,91,-13.0,14.0,22.0,-27.0,-28.0,6.0,-17.0,0.0,-18.0,-26.0,-31.0,8.0
13,92,-15.0,12.0,14.0,-19.0,-11.0,,-13.0,3.0,-10.0,-9.0,-13.0,2.0
14,93,-21.0,0.0,14.0,-18.0,-14.0,,-10.0,7.0,4.0,-15.0,-9.0,1.0
