,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,291,-19.0,1.0,0.0,-42.0,-38.0,9.0,-5.0,15.0,28.0,-19.0,-36.0,8.0
1,292,-7.0,0.0,2.0,-38.0,-38.0,9.0,0.0,16.0,32.0,-25.0,-36.0,8.0
2,293,-19.0,2.0,11.0,-41.0,-34.0,9.0,-2.0,13.0,16.0,-25.0,-33.0,8.0
3,294,-4.0,6.0,20.0,-36.0,-37.0,8.0,4.0,17.0,56.0,-23.0,-33.0,7.0
4,295,-16.0,2.0,6.0,-35.0,-34.0,8.0,-2.0,15.0,30.0,-10.0,-34.0,6.0
5,296,-15.0,-1.0,2.0,-27.0,-6.0,3.0,-7.0,12.0,21.0,-1.0,-14.0,1.0
6,297,-14.0,-3.0,17.0,-37.0,-4.0,3.0,0.0,19.0,22.0,-1.0,-11.0,2.0
7,298,-14.0,2.0,12.0,-37.0,-37.0,9.0,25.0,24.0,113.0,-8.0,-46.0,8.0
8,299,-16.0,1.0,3.0,-39.0,-37.0,10.0,25.0,27.0,123.0,-12.0,-45.0,9.0
9,300,-14.0,0.0,2.0,-36.0,-34.0,9.0,22.0,22.0,117.0,-6.0,-43.0,8.0
10,301,-13.0,11.0,1.0,-38.0,-37.0,9.0,23.0,24.0,125.0,-7.0,-43.0,8.0
11,302,-21.0,1.0,-11.0,-36.0,-35.0,9.0,11.0,21.0,67.0,2.0,-43.0,8.0
12,303,-15.0,3.0,5.0,-23.0,-5.0,2.0,-7.0,13.0,20.0,5.0,-15.0,2.0
13,304,-14.0,0.0,6.0,-24.0,-3.0,2.0,-10.0,13.0,10.0,2.0,-15.0,2.0
14,305,-15.0,2.0,45.0,-35.0,-39.0,10.0,1.0,16.0,23.0,-15.0,-35.0,8.0
15,306,-16.0,4.0,46.0,-38.0,-39.0,10.0,0.0,17.0,39.0,-22.0,-32.0,8.0
16,307,-17.0,5.0,34.0,-36.0,-34.0,10.0,-2.0,11.0,10.0,-23.0,-30.0,8.0
17,308,-15.0,6.0,19.0,-36.0,-38.0,10.0,4.0,15.0,29.0,-17.0,-29.0,8.0
18,309,-21.0,2.0,43.0,-34.0,-36.0,9.0,-5.0,14.0,15.0,-8.0,-31.0,7.0
19,310,-29.0,-5.0,30.0,-25.0,-9.0,5.0,-8.0,7.0,15.0,4.0,-12.0,3.0
20,311,-1.0,-1.0,21.0,-10.0,-2.0,2.0,-3.0,13.0,13.0,-2.0,-10.0,1.0
21,312,-16.0,1.0,11.0,-34.0,-38.0,10.0,1.0,13.0,23.0,-15.0,-32.0,8.0
22,313,-14.0,2.0,24.0,-36.0,-37.0,10.0,2.0,15.0,42.0,-20.0,-30.0,8.0
23,314,-18.0,3.0,15.0,-37.0,-33.0,10.0,3.0,11.0,22.0,-20.0,-29.0,8.0
