,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,28,-17.0,3.0,7.0,-18.0,-20.0,7.0,-14.0,3.0,-13.0,-22.0,-31.0,9.0
1,29,-22.0,-9.0,-10.0,-32.0,-13.0,5.0,-11.0,1.0,-6.0,-7.0,-11.0,4.0
2,30,-19.0,-9.0,14.0,-26.0,-11.0,4.0,-12.0,4.0,11.0,-7.0,-11.0,3.0
3,31,-9.0,1.0,,-14.0,-20.0,7.0,-11.0,4.0,5.0,-29.0,-34.0,9.0
4,32,-12.0,2.0,,-20.0,-22.0,7.0,-10.0,5.0,12.0,-32.0,-33.0,9.0
5,33,-10.0,5.0,0.0,-18.0,-17.0,7.0,-12.0,2.0,5.0,-31.0,-31.0,9.0
6,34,-14.0,0.0,6.0,-22.0,-19.0,7.0,-12.0,4.0,6.0,-30.0,-31.0,9.0
7,35,-21.0,1.0,-8.0,-17.0,-18.0,8.0,-16.0,2.0,-12.0,-22.0,-31.0,9.0
8,36,-24.0,-9.0,-28.0,-31.0,-12.0,5.0,-14.0,0.0,-19.0,-5.0,-12.0,4.0
9,37,-29.0,-14.0,-25.0,-23.0,-14.0,4.0,-12.0,3.0,0.0,-5.0,-12.0,3.0
10,38,-8.0,3.0,,-13.0,-20.0,6.0,-7.0,6.0,18.0,-23.0,-33.0,9.0
11,39,-9.0,1.0,,-19.0,-23.0,7.0,-9.0,2.0,12.0,-28.0,-33.0,9.0
12,40,-13.0,-2.0,5.0,-22.0,-19.0,6.0,-7.0,5.0,15.0,-26.0,-31.0,8.0
13,41,-11.0,1.0,-1.0,-21.0,-22.0,7.0,-4.0,7.0,21.0,-26.0,-31.0,8.0
14,42,-11.0,2.0,20.0,-16.0,-29.0,7.0,-10.0,8.0,9.0,-13.0,-31.0,8.0
15,43,-17.0,-6.0,-9.0,-26.0,-14.0,4.0,-11.0,5.0,-18.0,-1.0,-12.0,4.0
16,44,-22.0,-7.0,-15.0,-20.0,-12.0,3.0,-9.0,7.0,-1.0,-3.0,-10.0,4.0
17,45,12.0,10.0,,-8.0,-33.0,6.0,8.0,17.0,32.0,-16.0,-33.0,9.0
