,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,238,,,,,-42.0,13.0,,,,-35.0,-55.0,14.0
1,239,,,,,-39.0,11.0,,,,-29.0,-51.0,11.0
2,240,,,,,-39.0,12.0,-5.0,,,-33.0,-53.0,13.0
3,241,,,,,-37.0,9.0,-14.0,-14.0,,-26.0,-54.0,13.0
4,242,-22.0,,,,,3.0,-21.0,-14.0,,-16.0,,4.0
5,243,,,,,,2.0,-11.0,,,,,2.0
6,244,,,,,-41.0,9.0,,-16.0,,-24.0,-72.0,12.0
7,245,,,,,-38.0,10.0,,,,-31.0,-53.0,10.0
8,246,,,,,-38.0,11.0,-11.0,,,-37.0,-52.0,12.0
9,247,,,,,-38.0,11.0,-9.0,,,-34.0,-52.0,11.0
10,248,,,,,-36.0,9.0,-21.0,-14.0,,-30.0,-51.0,10.0
11,249,-22.0,,,,,3.0,-26.0,-16.0,,-25.0,,3.0
12,250,,,,,,2.0,-24.0,,,,,3.0
13,251,,,,,-39.0,9.0,,,,-31.0,-52.0,11.0
14,252,,,,,-38.0,10.0,,,,-35.0,-50.0,11.0
15,253,,,,,-36.0,10.0,-14.0,,,-37.0,-47.0,10.0
16,254,,,,,-36.0,10.0,-16.0,,,-38.0,-48.0,10.0
17,255,-21.0,-6.0,,-42.0,-34.0,9.0,-22.0,-15.0,30.0,-30.0,-46.0,9.0
18,256,-25.0,-3.0,,,-10.0,4.0,-25.0,-13.0,21.0,-22.0,-17.0,3.0
19,257,-19.0,-8.0,,-35.0,-9.0,3.0,-21.0,-10.0,55.0,-19.0,-17.0,2.0
20,258,-15.0,-2.0,,-36.0,-35.0,8.0,-11.0,-9.0,104.0,-29.0,-44.0,9.0
21,259,-11.0,1.0,,-38.0,-34.0,9.0,-10.0,-9.0,98.0,-33.0,-44.0,9.0
22,260,-17.0,-3.0,,-40.0,-34.0,10.0,-14.0,-14.0,56.0,-37.0,-44.0,10.0
23,261,-17.0,-3.0,,-37.0,-34.0,9.0,-13.0,-13.0,81.0,-37.0,-45.0,10.0
24,262,-20.0,-5.0,,-37.0,-35.0,7.0,-22.0,-13.0,38.0,-32.0,-44.0,9.0
25,263,-26.0,-7.0,,,-11.0,2.0,-25.0,-14.0,28.0,-24.0,-18.0,4.0
26,264,-21.0,-12.0,,-36.0,-9.0,1.0,-22.0,-12.0,34.0,-21.0,-18.0,3.0
27,265,-9.0,-4.0,,-45.0,-52.0,10.0,-13.0,-9.0,77.0,-32.0,-46.0,10.0
28,266,-11.0,3.0,,-45.0,-43.0,12.0,-15.0,-10.0,78.0,-37.0,-44.0,10.0
29,267,-18.0,-3.0,,-45.0,-34.0,11.0,-22.0,-17.0,-1.0,-42.0,-44.0,13.0
30,268,-15.0,-3.0,,-46.0,-35.0,11.0,-19.0,-11.0,17.0,-40.0,-44.0,12.0
31,269,-14.0,-1.0,,-45.0,-34.0,10.0,-23.0,-10.0,2.0,-31.0,-42.0,11.0
32,270,-19.0,0.0,,,-6.0,5.0,-25.0,-8.0,5.0,-24.0,-16.0,6.0
33,271,-15.0,-3.0,,-38.0,-7.0,3.0,-22.0,-6.0,14.0,-22.0,-15.0,5.0
34,272,-6.0,1.0,,-44.0,-36.0,11.0,-12.0,-5.0,51.0,-31.0,-41.0,11.0
35,273,-9.0,4.0,,-41.0,-33.0,11.0,-12.0,-5.0,67.0,-36.0,-41.0,10.0
36,274,-13.0,-1.0,-3.0,-47.0,-34.0,11.0,-20.0,-13.0,-5.0,-42.0,-43.0,13.0
37,275,-15.0,-1.0,,-47.0,-32.0,11.0,-17.0,-6.0,39.0,-39.0,-40.0,11.0
38,276,-21.0,0.0,,-41.0,-31.0,10.0,-26.0,-5.0,-2.0,-29.0,-39.0,11.0
39,277,-21.0,0.0,-23.0,,-12.0,8.0,-31.0,-11.0,-32.0,-27.0,-17.0,8.0
40,278,-13.0,-1.0,,-45.0,-8.0,5.0,-24.0,-5.0,5.0,-22.0,-15.0,5.0
41,279,-13.0,2.0,,-44.0,-34.0,11.0,-20.0,-4.0,25.0,-32.0,-41.0,11.0
42,280,-11.0,4.0,9.0,-43.0,-34.0,11.0,-20.0,-6.0,18.0,-34.0,-41.0,12.0
43,281,-15.0,0.0,,-45.0,-33.0,11.0,-20.0,-8.0,24.0,-38.0,-40.0,11.0
44,282,-15.0,0.0,,-45.0,-32.0,11.0,-21.0,-7.0,18.0,-38.0,-41.0,12.0
45,283,-24.0,-2.0,,-47.0,-33.0,11.0,-26.0,-7.0,3.0,-32.0,-39.0,11.0
46,284,-33.0,2.0,,,-15.0,7.0,-28.0,-7.0,-13.0,-24.0,-15.0,7.0
47,285,-28.0,-6.0,,-45.0,-14.0,5.0,-27.0,-8.0,13.0,-28.0,-14.0,5.0
48,286,-18.0,-3.0,,-53.0,-50.0,14.0,-23.0,-9.0,-1.0,-36.0,-42.0,13.0
49,287,-16.0,-1.0,5.0,-52.0,-49.0,15.0,-22.0,-8.0,17.0,-39.0,-41.0,13.0
50,288,-18.0,-3.0,,-52.0,-48.0,15.0,-23.0,-8.0,20.0,-39.0,-39.0,12.0
51,289,-18.0,0.0,,-51.0,-48.0,14.0,-23.0,-7.0,16.0,-40.0,-41.0,13.0
52,290,-26.0,-1.0,,-53.0,-47.0,13.0,-28.0,-6.0,3.0,-33.0,-37.0,11.0
53,291,-36.0,-2.0,,,-15.0,8.0,-37.0,-10.0,-15.0,-36.0,-18.0,9.0
54,292,-26.0,-6.0,,-48.0,-15.0,6.0,-36.0,-11.0,2.0,-38.0,-18.0,7.0
55,293,-17.0,-1.0,,-53.0,-48.0,15.0,-27.0,-8.0,13.0,-37.0,-42.0,13.0
56,294,-14.0,3.0,,-49.0,-45.0,15.0,-25.0,-9.0,30.0,-41.0,-41.0,13.0
57,295,-20.0,5.0,,-46.0,-35.0,12.0,-29.0,-10.0,0.0,-42.0,-40.0,14.0
58,296,-21.0,1.0,,-47.0,-35.0,13.0,-27.0,-8.0,11.0,-43.0,-41.0,14.0
59,297,-24.0,5.0,,-48.0,-34.0,13.0,-30.0,-8.0,-10.0,-35.0,-39.0,14.0
60,298,-31.0,4.0,,,-13.0,9.0,-38.0,-12.0,-36.0,-38.0,-17.0,9.0
61,299,-22.0,3.0,,-47.0,-11.0,5.0,-29.0,-8.0,17.0,-32.0,-14.0,6.0
62,300,-18.0,6.0,,-46.0,-34.0,12.0,-13.0,-6.0,27.0,-33.0,-52.0,15.0
63,301,-17.0,5.0,8.0,-44.0,-34.0,13.0,-12.0,-4.0,16.0,-38.0,-52.0,16.0
64,302,-17.0,5.0,,-42.0,-33.0,12.0,-8.0,-3.0,56.0,-35.0,-49.0,14.0
65,303,-17.0,5.0,,-44.0,-33.0,13.0,-11.0,-2.0,25.0,-35.0,-51.0,16.0
66,304,-21.0,7.0,,-43.0,-32.0,12.0,-20.0,-2.0,26.0,-29.0,-50.0,14.0
67,305,-29.0,6.0,-6.0,,-10.0,9.0,-35.0,-8.0,-27.0,-27.0,-15.0,9.0
68,306,-25.0,-6.0,,-46.0,-14.0,7.0,-27.0,-10.0,-12.0,-24.0,-12.0,6.0
69,307,-17.0,3.0,,-40.0,-33.0,12.0,-10.0,-3.0,2.0,-28.0,-39.0,12.0
70,308,-14.0,4.0,6.0,-44.0,-33.0,13.0,-6.0,2.0,6.0,-31.0,-39.0,11.0
71,309,-20.0,2.0,,-44.0,-31.0,12.0,-4.0,-1.0,3.0,-31.0,-36.0,10.0
72,310,-19.0,1.0,,-43.0,-32.0,13.0,-63.0,-21.0,-24.0,-64.0,-48.0,19.0
73,311,-23.0,0.0,,-46.0,-31.0,13.0,-67.0,-18.0,-40.0,-67.0,-48.0,20.0
74,312,-27.0,2.0,,,-11.0,9.0,-73.0,-26.0,-54.0,-75.0,-42.0,16.0
75,313,-22.0,-5.0,,-49.0,-10.0,7.0,-73.0,-24.0,-42.0,-71.0,-43.0,13.0
76,314,-18.0,-1.0,,-44.0,-33.0,13.0,-59.0,-18.0,-23.0,-63.0,-49.0,18.0
77,315,-17.0,1.0,1.0,-46.0,-33.0,13.0,-57.0,-17.0,-15.0,-62.0,-48.0,18.0
78,316,-22.0,1.0,-1.0,-46.0,-33.0,13.0,-58.0,-17.0,-26.0,-63.0,-48.0,19.0
79,317,-21.0,0.0,,-47.0,-33.0,13.0,-56.0,-14.0,-12.0,-64.0,-48.0,19.0
80,318,-23.0,2.0,,-47.0,-33.0,13.0,-61.0,-14.0,-35.0,-62.0,-48.0,20.0
81,319,-28.0,3.0,,,-8.0,9.0,-68.0,-19.0,-58.0,-72.0,-43.0,16.0
82,320,-22.0,-4.0,,-47.0,-12.0,7.0,-68.0,-23.0,-36.0,-72.0,-41.0,12.0
83,321,-15.0,2.0,,-44.0,-34.0,13.0,-55.0,-16.0,-24.0,-60.0,-48.0,18.0
