,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,198,58.0,34.0,,117.0,1.0,,-14.0,10.0,19.0,-6.0,-8.0,0.0
1,199,61.0,41.0,,111.0,-31.0,6.0,-8.0,11.0,33.0,-28.0,-36.0,11.0
2,200,49.0,39.0,,70.0,-29.0,12.0,-11.0,6.0,16.0,-50.0,-38.0,18.0
3,201,54.0,42.0,,62.0,-27.0,5.0,1.0,16.0,47.0,-20.0,-30.0,6.0
4,202,49.0,37.0,167.0,57.0,-25.0,4.0,8.0,18.0,65.0,-17.0,-29.0,5.0
5,203,27.0,33.0,151.0,62.0,-27.0,4.0,-3.0,11.0,138.0,-7.0,-32.0,5.0
6,204,22.0,29.0,92.0,91.0,3.0,1.0,-11.0,7.0,104.0,10.0,-8.0,0.0
7,205,47.0,24.0,125.0,76.0,-1.0,,-11.0,4.0,13.0,-6.0,-8.0,1.0
8,206,64.0,40.0,,91.0,-25.0,4.0,12.0,17.0,76.0,-12.0,-39.0,8.0
9,207,58.0,42.0,,86.0,-25.0,4.0,11.0,16.0,81.0,-9.0,-38.0,6.0
10,208,63.0,45.0,,86.0,-26.0,4.0,8.0,14.0,85.0,-46.0,-38.0,7.0
11,209,52.0,41.0,171.0,74.0,-26.0,3.0,11.0,17.0,79.0,-23.0,-37.0,7.0
12,210,41.0,36.0,179.0,86.0,-26.0,3.0,1.0,12.0,46.0,-11.0,-40.0,5.0
13,211,34.0,33.0,137.0,106.0,3.0,-1.0,-12.0,5.0,9.0,-23.0,-12.0,0.0
14,212,,37.0,,138.0,9.0,,-7.0,9.0,22.0,-10.0,-9.0,0.0
15,213,62.0,42.0,,98.0,-27.0,3.0,11.0,15.0,102.0,-14.0,-43.0,6.0
16,214,54.0,42.0,,66.0,-26.0,4.0,15.0,17.0,91.0,-18.0,-40.0,7.0
17,215,53.0,43.0,,72.0,-26.0,5.0,9.0,14.0,79.0,-16.0,-38.0,6.0
18,216,64.0,42.0,175.0,75.0,-24.0,4.0,14.0,18.0,71.0,-17.0,-40.0,6.0
19,217,43.0,41.0,185.0,82.0,-25.0,3.0,-3.0,9.0,27.0,-16.0,-41.0,5.0
20,218,32.0,39.0,142.0,114.0,4.0,-1.0,-11.0,7.0,23.0,-5.0,-13.0,-1.0
21,219,,40.0,,117.0,2.0,,-7.0,9.0,41.0,-2.0,-13.0,-1.0
22,220,72.0,47.0,,111.0,-25.0,3.0,11.0,17.0,73.0,-14.0,-43.0,6.0
23,221,69.0,47.0,,101.0,-25.0,3.0,13.0,19.0,84.0,-17.0,-40.0,5.0
24,222,73.0,54.0,,113.0,-24.0,3.0,7.0,14.0,61.0,-21.0,-40.0,6.0
25,223,68.0,50.0,,105.0,-19.0,3.0,5.0,15.0,63.0,-20.0,-40.0,6.0
26,224,50.0,44.0,,112.0,-21.0,3.0,-8.0,9.0,30.0,-15.0,-42.0,5.0
27,225,42.0,48.0,202.0,159.0,7.0,-3.0,-20.0,1.0,10.0,-30.0,-16.0,0.0
28,226,,47.0,,151.0,7.0,,-12.0,6.0,23.0,-14.0,-15.0,0.0
29,227,60.0,48.0,,88.0,-15.0,5.0,8.0,15.0,59.0,-16.0,-42.0,8.0
30,228,48.0,43.0,,73.0,-15.0,5.0,13.0,17.0,68.0,-18.0,-41.0,9.0
31,229,56.0,44.0,,78.0,-13.0,5.0,12.0,13.0,159.0,-9.0,-38.0,8.0
32,230,54.0,40.0,143.0,49.0,-12.0,7.0,10.0,15.0,178.0,-48.0,-40.0,9.0
33,231,46.0,37.0,146.0,65.0,-13.0,6.0,-3.0,10.0,113.0,-10.0,-41.0,7.0
34,232,36.0,39.0,142.0,102.0,11.0,1.0,-13.0,6.0,79.0,-39.0,-15.0,2.0
35,233,,41.0,,111.0,8.0,,-7.0,6.0,31.0,-14.0,-12.0,0.0
36,234,55.0,40.0,,75.0,-13.0,5.0,11.0,15.0,60.0,-15.0,-44.0,9.0
37,235,50.0,39.0,,72.0,-14.0,5.0,14.0,18.0,83.0,-17.0,-41.0,8.0
38,236,60.0,41.0,159.0,72.0,-15.0,5.0,11.0,14.0,55.0,-20.0,-40.0,8.0
39,237,60.0,39.0,149.0,73.0,-14.0,5.0,12.0,17.0,51.0,-21.0,-40.0,8.0
40,238,50.0,37.0,149.0,69.0,-17.0,5.0,-1.0,13.0,38.0,-15.0,-43.0,7.0
41,239,66.0,40.0,144.0,129.0,16.0,-1.0,-13.0,4.0,23.0,-8.0,-17.0,0.0
42,240,,42.0,,141.0,9.0,,3.0,9.0,79.0,-7.0,-15.0,-1.0
43,241,61.0,35.0,,90.0,-16.0,4.0,30.0,10.0,72.0,-18.0,-74.0,12.0
44,242,42.0,36.0,128.0,61.0,-14.0,4.0,15.0,18.0,52.0,-21.0,-41.0,6.0
45,243,48.0,39.0,135.0,61.0,-15.0,4.0,9.0,12.0,43.0,-24.0,-40.0,7.0
46,244,42.0,33.0,121.0,64.0,-13.0,2.0,9.0,10.0,50.0,-24.0,-39.0,5.0
47,245,31.0,26.0,103.0,50.0,-14.0,3.0,-4.0,5.0,15.0,-20.0,-40.0,4.0
48,246,12.0,18.0,52.0,51.0,2.0,1.0,-12.0,1.0,-9.0,-17.0,-16.0,0.0
49,247,47.0,30.0,131.0,72.0,0.0,,-9.0,5.0,55.0,-12.0,-15.0,0.0
50,248,50.0,30.0,125.0,78.0,-16.0,3.0,4.0,12.0,31.0,-21.0,-38.0,5.0
51,249,38.0,27.0,119.0,48.0,-14.0,3.0,0.0,10.0,26.0,-28.0,-36.0,5.0
52,250,39.0,30.0,113.0,39.0,-16.0,4.0,-3.0,4.0,22.0,-26.0,-33.0,5.0
53,251,33.0,28.0,113.0,42.0,-15.0,4.0,-4.0,6.0,14.0,-27.0,-34.0,6.0
54,252,29.0,27.0,114.0,50.0,-16.0,3.0,-14.0,4.0,-2.0,-21.0,-34.0,6.0
55,253,38.0,32.0,132.0,108.0,8.0,-1.0,-12.0,5.0,-3.0,-11.0,-15.0,0.0
56,254,50.0,30.0,131.0,78.0,1.0,,-10.0,9.0,21.0,-4.0,-11.0,0.0
57,255,43.0,27.0,129.0,66.0,-13.0,3.0,-6.0,7.0,16.0,-22.0,-36.0,6.0
58,256,44.0,28.0,140.0,61.0,-14.0,2.0,-2.0,11.0,49.0,-23.0,-34.0,4.0
59,257,41.0,29.0,120.0,51.0,-13.0,3.0,-8.0,4.0,33.0,-21.0,-32.0,4.0
60,258,41.0,29.0,115.0,43.0,-14.0,3.0,-4.0,10.0,44.0,-33.0,-32.0,5.0
61,259,33.0,29.0,119.0,50.0,-14.0,2.0,-10.0,8.0,22.0,-17.0,-33.0,4.0
62,260,28.0,34.0,104.0,75.0,3.0,-1.0,-7.0,12.0,18.0,-9.0,-13.0,-1.0
63,261,,46.0,,92.0,3.0,,4.0,31.0,26.0,-14.0,-10.0,-1.0
64,262,-12.0,-57.0,119.0,46.0,-59.0,14.0,-66.0,-63.0,-3.0,-51.0,-80.0,21.0
65,263,34.0,45.0,108.0,49.0,-13.0,2.0,1.0,27.0,33.0,-22.0,-33.0,5.0
66,264,37.0,29.0,98.0,38.0,-13.0,4.0,-2.0,11.0,19.0,-22.0,-32.0,5.0
67,265,31.0,28.0,94.0,37.0,-13.0,3.0,-4.0,10.0,20.0,-22.0,-33.0,5.0
68,266,29.0,29.0,112.0,43.0,-18.0,3.0,-8.0,12.0,25.0,-13.0,-34.0,4.0
69,267,40.0,31.0,128.0,88.0,9.0,-1.0,-4.0,17.0,26.0,4.0,-15.0,0.0
70,268,41.0,21.0,114.0,49.0,0.0,,-3.0,22.0,33.0,-4.0,-12.0,0.0
71,269,54.0,22.0,99.0,60.0,-25.0,5.0,0.0,12.0,16.0,-19.0,-34.0,6.0
72,270,31.0,24.0,86.0,33.0,-15.0,4.0,2.0,17.0,39.0,-21.0,-32.0,5.0
73,271,28.0,26.0,87.0,37.0,-13.0,3.0,-2.0,12.0,9.0,-21.0,-31.0,5.0
74,272,26.0,24.0,82.0,33.0,-11.0,2.0,0.0,14.0,5.0,-22.0,-31.0,5.0
75,273,2.0,16.0,29.0,-5.0,-17.0,6.0,-9.0,8.0,-21.0,-15.0,-33.0,5.0
76,274,13.0,21.0,40.0,34.0,3.0,1.0,-3.0,17.0,0.0,-49.0,-16.0,1.0
77,275,33.0,21.0,91.0,51.0,5.0,,-5.0,18.0,7.0,-9.0,-11.0,0.0
78,276,23.0,19.0,57.0,27.0,-14.0,4.0,-3.0,13.0,10.0,-18.0,-33.0,6.0
79,277,14.0,17.0,58.0,20.0,-13.0,4.0,-5.0,12.0,12.0,-22.0,-31.0,5.0
80,278,12.0,17.0,48.0,6.0,-14.0,5.0,-8.0,7.0,-17.0,-53.0,-31.0,7.0
81,279,10.0,18.0,39.0,5.0,-14.0,5.0,-1.0,11.0,17.0,-22.0,-29.0,5.0
82,280,6.0,14.0,42.0,10.0,-16.0,4.0,-8.0,5.0,43.0,-12.0,-32.0,5.0
83,281,8.0,15.0,43.0,26.0,1.0,0.0,-4.0,10.0,64.0,-39.0,-14.0,0.0
84,282,6.0,5.0,33.0,-1.0,-4.0,,-8.0,11.0,2.0,-14.0,-14.0,1.0
85,283,28.0,17.0,63.0,18.0,-30.0,5.0,-4.0,10.0,11.0,-21.0,-33.0,6.0
86,284,16.0,14.0,61.0,10.0,-30.0,5.0,1.0,12.0,21.0,-21.0,-30.0,5.0
87,285,17.0,15.0,61.0,13.0,-29.0,5.0,-4.0,5.0,-3.0,-19.0,-29.0,5.0
88,286,18.0,12.0,54.0,5.0,-26.0,5.0,-1.0,11.0,22.0,-21.0,-30.0,5.0
89,287,11.0,15.0,58.0,14.0,-29.0,5.0,-5.0,9.0,-5.0,-11.0,-30.0,5.0
