,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,18,-62.0,-26.0,3.0,-55.0,-50.0,16.0,-65.0,-30.0,-37.0,-70.0,-58.0,21.0
1,19,-64.0,-27.0,-1.0,-58.0,-51.0,17.0,-69.0,-34.0,-53.0,-74.0,-59.0,23.0
2,20,-65.0,-27.0,-37.0,-59.0,-51.0,18.0,-70.0,-33.0,-56.0,-74.0,-60.0,23.0
3,21,-64.0,-26.0,-14.0,-61.0,-52.0,18.0,-67.0,-28.0,-36.0,-73.0,-59.0,23.0
4,22,-62.0,-22.0,12.0,-60.0,-49.0,18.0,-68.0,-25.0,-38.0,-70.0,-58.0,23.0
5,23,-68.0,-25.0,43.0,-59.0,-37.0,13.0,-73.0,-29.0,-56.0,-74.0,-46.0,16.0
6,24,-65.0,-31.0,,-62.0,-34.0,10.0,-75.0,-31.0,-45.0,-75.0,-45.0,14.0
7,25,-60.0,-20.0,6.0,-52.0,-50.0,16.0,-64.0,-25.0,-29.0,-69.0,-59.0,21.0
8,26,-61.0,-25.0,-10.0,-60.0,-52.0,17.0,-66.0,-29.0,-43.0,-72.0,-59.0,22.0
9,27,-61.0,-22.0,-1.0,-55.0,-50.0,17.0,-65.0,-27.0,-30.0,-71.0,-58.0,22.0
10,28,-64.0,-25.0,-43.0,-63.0,-52.0,19.0,-68.0,-29.0,-54.0,-73.0,-59.0,23.0
11,29,-61.0,-21.0,-19.0,-59.0,-51.0,18.0,-68.0,-23.0,-52.0,-71.0,-57.0,23.0
12,30,-68.0,-23.0,32.0,-62.0,-39.0,13.0,-72.0,-26.0,-61.0,-74.0,-44.0,16.0
13,31,-63.0,-28.0,,-58.0,-34.0,10.0,-73.0,-27.0,-41.0,-73.0,-43.0,13.0
