,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,186,4.0,3.0,85.0,-17.0,-37.0,4.0,-2.0,13.0,71.0,-19.0,-31.0,5.0
1,187,2.0,2.0,83.0,-19.0,-37.0,6.0,-6.0,9.0,46.0,-21.0,-30.0,6.0
2,188,-1.0,5.0,113.0,-16.0,-38.0,5.0,2.0,14.0,67.0,-19.0,-31.0,5.0
3,189,-4.0,0.0,101.0,-19.0,-37.0,5.0,-9.0,12.0,99.0,-7.0,-33.0,4.0
4,190,-10.0,3.0,82.0,-12.0,-19.0,-1.0,-14.0,6.0,112.0,6.0,-12.0,-1.0
5,191,2.0,15.0,115.0,-10.0,-5.0,-2.0,-11.0,13.0,32.0,-4.0,-9.0,-1.0
6,192,6.0,8.0,129.0,-18.0,-40.0,5.0,-1.0,16.0,49.0,-17.0,-35.0,6.0
7,193,14.0,9.0,92.0,-17.0,-37.0,4.0,-1.0,15.0,64.0,-21.0,-33.0,6.0
8,194,4.0,6.0,97.0,-18.0,-37.0,6.0,-2.0,15.0,61.0,-19.0,-31.0,5.0
9,195,5.0,4.0,109.0,-19.0,-39.0,6.0,1.0,14.0,59.0,-18.0,-31.0,6.0
10,196,-3.0,-5.0,122.0,-20.0,-38.0,5.0,-13.0,4.0,33.0,-16.0,-32.0,5.0
11,197,-11.0,3.0,99.0,-16.0,-18.0,0.0,-15.0,11.0,25.0,-4.0,-11.0,-1.0
12,198,6.0,10.0,116.0,-12.0,-5.0,-1.0,-14.0,10.0,19.0,-6.0,-8.0,0.0
13,199,7.0,11.0,149.0,-10.0,-39.0,8.0,-8.0,11.0,33.0,-28.0,-36.0,11.0
14,200,3.0,8.0,98.0,-19.0,-38.0,14.0,-11.0,6.0,16.0,-50.0,-38.0,18.0
15,201,9.0,8.0,110.0,-15.0,-36.0,5.0,1.0,16.0,47.0,-20.0,-30.0,6.0
16,202,9.0,10.0,130.0,-13.0,-36.0,5.0,8.0,18.0,65.0,-17.0,-29.0,5.0
17,203,7.0,6.0,125.0,-12.0,-35.0,5.0,-3.0,11.0,138.0,-7.0,-32.0,5.0
18,204,-5.0,4.0,100.0,-2.0,-15.0,0.0,-11.0,7.0,104.0,10.0,-8.0,0.0
19,205,8.0,6.0,92.0,-9.0,-4.0,0.0,-11.0,4.0,13.0,-6.0,-8.0,1.0
20,206,16.0,9.0,134.0,-9.0,-39.0,7.0,12.0,17.0,76.0,-12.0,-39.0,8.0
21,207,17.0,14.0,117.0,-10.0,-35.0,4.0,11.0,16.0,81.0,-9.0,-38.0,6.0
22,208,19.0,10.0,122.0,-15.0,-34.0,5.0,8.0,14.0,85.0,-46.0,-38.0,7.0
23,209,16.0,13.0,122.0,-12.0,-37.0,5.0,11.0,17.0,79.0,-23.0,-37.0,7.0
24,210,12.0,9.0,131.0,-12.0,-37.0,4.0,1.0,12.0,46.0,-11.0,-40.0,5.0
25,211,8.0,11.0,91.0,-6.0,-18.0,-1.0,-12.0,5.0,9.0,-23.0,-12.0,0.0
26,212,19.0,14.0,104.0,-4.0,-1.0,-2.0,-7.0,9.0,22.0,-10.0,-9.0,0.0
27,213,19.0,12.0,153.0,-4.0,-36.0,5.0,11.0,15.0,102.0,-14.0,-43.0,6.0
28,214,18.0,12.0,100.0,-9.0,-34.0,5.0,15.0,17.0,91.0,-18.0,-40.0,7.0
29,215,17.0,10.0,101.0,-8.0,-32.0,6.0,9.0,14.0,79.0,-16.0,-38.0,6.0
