,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,148,5.0,8.0,61.0,-30.0,3.0,-1.0,-7.0,11.0,37.0,1.0,-9.0,-2.0
1,149,4.0,4.0,59.0,-37.0,6.0,0.0,-1.0,15.0,26.0,-2.0,-7.0,-1.0
2,150,6.0,13.0,61.0,-28.0,-21.0,5.0,18.0,20.0,79.0,-13.0,-42.0,6.0
3,151,9.0,15.0,65.0,-32.0,-21.0,4.0,28.0,27.0,83.0,-18.0,-40.0,7.0
4,152,17.0,16.0,86.0,-30.0,-20.0,4.0,25.0,28.0,75.0,-12.0,-41.0,4.0
5,153,23.0,19.0,128.0,-35.0,-38.0,6.0,35.0,22.0,156.0,-11.0,-68.0,9.0
6,154,16.0,5.0,129.0,-40.0,-55.0,9.0,5.0,6.0,91.0,-19.0,-68.0,10.0
7,155,1.0,9.0,145.0,-23.0,-2.0,-1.0,-19.0,2.0,22.0,-17.0,-17.0,-1.0
8,156,1.0,11.0,97.0,-31.0,6.0,-3.0,-18.0,0.0,-12.0,-17.0,-11.0,0.0
9,157,7.0,11.0,73.0,-31.0,-28.0,6.0,-2.0,12.0,24.0,-21.0,-33.0,6.0
10,158,1.0,14.0,71.0,-36.0,-21.0,5.0,0.0,14.0,53.0,-24.0,-29.0,5.0
11,159,4.0,10.0,48.0,-35.0,-20.0,6.0,-4.0,12.0,27.0,-24.0,-28.0,5.0
12,160,10.0,11.0,74.0,-33.0,-22.0,5.0,-4.0,11.0,43.0,-25.0,-29.0,5.0
13,161,5.0,7.0,62.0,-33.0,-22.0,4.0,-9.0,10.0,73.0,-11.0,-29.0,4.0
14,162,1.0,7.0,68.0,-31.0,1.0,0.0,-13.0,5.0,70.0,1.0,-11.0,-1.0
15,163,8.0,6.0,57.0,-30.0,4.0,0.0,-9.0,9.0,14.0,-6.0,-8.0,0.0
16,164,3.0,9.0,71.0,-32.0,-20.0,5.0,-5.0,13.0,44.0,-19.0,-31.0,5.0
17,165,2.0,9.0,74.0,-35.0,-21.0,5.0,-2.0,13.0,75.0,-21.0,-30.0,5.0
18,166,6.0,12.0,81.0,-32.0,-21.0,5.0,-3.0,13.0,49.0,-20.0,-27.0,4.0
19,167,8.0,13.0,84.0,-32.0,-23.0,5.0,-3.0,17.0,70.0,-19.0,-27.0,4.0
20,168,5.0,8.0,78.0,-33.0,-25.0,4.0,-12.0,12.0,36.0,-13.0,-31.0,4.0
21,169,4.0,12.0,122.0,-24.0,0.0,-1.0,-10.0,12.0,42.0,2.0,-10.0,-2.0
22,170,4.0,8.0,43.0,-39.0,4.0,0.0,-5.0,13.0,40.0,-8.0,-4.0,-2.0
23,171,4.0,11.0,87.0,-31.0,-21.0,5.0,-6.0,12.0,55.0,-19.0,-31.0,5.0
24,172,0.0,14.0,71.0,-42.0,-22.0,5.0,-5.0,15.0,63.0,-53.0,-30.0,6.0
25,173,1.0,9.0,80.0,-37.0,-21.0,5.0,-5.0,12.0,52.0,-33.0,-28.0,5.0
26,174,9.0,15.0,93.0,-38.0,-23.0,5.0,-7.0,13.0,49.0,-54.0,-30.0,6.0
27,175,5.0,8.0,73.0,-38.0,-25.0,4.0,-10.0,9.0,24.0,-22.0,-31.0,4.0
28,176,3.0,8.0,84.0,-38.0,-3.0,0.0,-16.0,7.0,21.0,-46.0,-10.0,0.0
29,177,7.0,8.0,62.0,-38.0,3.0,0.0,-7.0,11.0,38.0,-19.0,-6.0,-1.0
30,178,8.0,14.0,74.0,-34.0,-21.0,5.0,-4.0,11.0,30.0,-18.0,-34.0,7.0
31,179,5.0,13.0,62.0,-37.0,-22.0,5.0,1.0,15.0,70.0,-19.0,-31.0,5.0
32,180,7.0,12.0,58.0,-36.0,-21.0,6.0,-4.0,11.0,41.0,-19.0,-28.0,5.0
33,181,13.0,15.0,70.0,-32.0,-24.0,5.0,-1.0,12.0,56.0,-20.0,-30.0,5.0
34,182,5.0,6.0,53.0,-36.0,-25.0,4.0,-9.0,9.0,16.0,-11.0,-32.0,5.0
35,183,-3.0,3.0,44.0,-35.0,-3.0,1.0,-10.0,8.0,17.0,-4.0,-12.0,0.0
36,184,2.0,4.0,55.0,-36.0,1.0,0.0,-6.0,8.0,26.0,0.0,-6.0,-1.0
37,185,3.0,9.0,76.0,-32.0,-34.0,6.0,-1.0,12.0,56.0,-15.0,-34.0,6.0
38,186,7.0,11.0,94.0,-33.0,-33.0,6.0,-2.0,13.0,71.0,-19.0,-31.0,5.0
39,187,2.0,6.0,67.0,-40.0,-33.0,7.0,-6.0,9.0,46.0,-21.0,-30.0,6.0
40,188,8.0,8.0,101.0,-33.0,-34.0,6.0,2.0,14.0,67.0,-19.0,-31.0,5.0
41,189,2.0,4.0,84.0,-37.0,-36.0,5.0,-9.0,12.0,99.0,-7.0,-33.0,4.0
42,190,-5.0,2.0,84.0,-29.0,-3.0,-1.0,-14.0,6.0,112.0,6.0,-12.0,-1.0
43,191,1.0,5.0,95.0,-37.0,1.0,-1.0,-11.0,13.0,32.0,-4.0,-9.0,-1.0
44,192,8.0,11.0,106.0,-33.0,-39.0,6.0,-1.0,16.0,49.0,-17.0,-35.0,6.0
45,193,8.0,14.0,111.0,-34.0,-35.0,6.0,-1.0,15.0,64.0,-21.0,-33.0,6.0
46,194,9.0,11.0,97.0,-36.0,-34.0,6.0,-2.0,15.0,61.0,-19.0,-31.0,5.0
47,195,10.0,9.0,84.0,-36.0,-36.0,6.0,1.0,14.0,59.0,-18.0,-31.0,6.0
48,196,-4.0,-5.0,73.0,-40.0,-36.0,6.0,-13.0,4.0,33.0,-16.0,-32.0,5.0
49,197,-5.0,3.0,109.0,-31.0,-4.0,-1.0,-15.0,11.0,25.0,-4.0,-11.0,-1.0
50,198,-2.0,1.0,56.0,-38.0,0.0,0.0,-14.0,10.0,19.0,-6.0,-8.0,0.0
51,199,8.0,14.0,126.0,-34.0,-36.0,9.0,-8.0,11.0,33.0,-28.0,-36.0,11.0
52,200,7.0,12.0,103.0,-39.0,-36.0,15.0,-11.0,6.0,16.0,-50.0,-38.0,18.0
53,201,13.0,13.0,122.0,-33.0,-34.0,6.0,1.0,16.0,47.0,-20.0,-30.0,6.0
54,202,13.0,13.0,107.0,-32.0,-35.0,6.0,8.0,18.0,65.0,-17.0,-29.0,5.0
55,203,6.0,5.0,83.0,-39.0,-35.0,5.0,-3.0,11.0,138.0,-7.0,-32.0,5.0
56,204,-1.0,5.0,87.0,-31.0,0.0,1.0,-11.0,7.0,104.0,10.0,-8.0,0.0
57,205,0.0,1.0,65.0,-30.0,2.0,0.0,-11.0,4.0,13.0,-6.0,-8.0,1.0
58,206,8.0,10.0,73.0,-36.0,-35.0,8.0,12.0,17.0,76.0,-12.0,-39.0,8.0
59,207,12.0,13.0,109.0,-35.0,-34.0,6.0,11.0,16.0,81.0,-9.0,-38.0,6.0
60,208,17.0,14.0,117.0,-48.0,-32.0,6.0,8.0,14.0,85.0,-46.0,-38.0,7.0
61,209,21.0,15.0,107.0,-38.0,-35.0,6.0,11.0,17.0,79.0,-23.0,-37.0,7.0
62,210,14.0,8.0,99.0,-33.0,-36.0,5.0,1.0,12.0,46.0,-11.0,-40.0,5.0
63,211,4.0,7.0,95.0,-31.0,-3.0,0.0,-12.0,5.0,9.0,-23.0,-12.0,0.0
64,212,12.0,9.0,83.0,-34.0,2.0,-2.0,-7.0,9.0,22.0,-10.0,-9.0,0.0
65,213,17.0,17.0,123.0,-34.0,-35.0,5.0,11.0,15.0,102.0,-14.0,-43.0,6.0
66,214,17.0,19.0,130.0,-30.0,-32.0,6.0,15.0,17.0,91.0,-18.0,-40.0,7.0
67,215,17.0,16.0,103.0,-35.0,-32.0,7.0,9.0,14.0,79.0,-16.0,-38.0,6.0
68,216,17.0,16.0,107.0,-34.0,-33.0,6.0,14.0,18.0,71.0,-17.0,-40.0,6.0
