,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,189,0.0,14.0,,-30.0,-52.0,13.0,-4.0,12.0,111.0,-34.0,-37.0,9.0
1,190,-13.0,6.0,,-37.0,-49.0,11.0,-12.0,11.0,83.0,-23.0,-37.0,8.0
2,191,-15.0,9.0,,-21.0,-9.0,,-18.0,9.0,43.0,-15.0,-12.0,3.0
3,192,0.0,3.0,,,-15.0,,-17.0,13.0,39.0,-18.0,-8.0,1.0
4,193,0.0,14.0,,-40.0,-52.0,11.0,-6.0,6.0,39.0,-27.0,-42.0,12.0
5,194,-1.0,19.0,,-37.0,-52.0,12.0,1.0,16.0,101.0,-32.0,-40.0,11.0
6,195,-2.0,16.0,,-28.0,-53.0,12.0,-2.0,11.0,94.0,-34.0,-37.0,10.0
7,196,-2.0,17.0,,-31.0,-51.0,11.0,-1.0,16.0,100.0,-29.0,-36.0,10.0
8,197,-13.0,11.0,,-27.0,-49.0,9.0,-15.0,12.0,62.0,-24.0,-37.0,8.0
9,198,-14.0,10.0,,-15.0,-6.0,,-25.0,9.0,39.0,-20.0,-12.0,3.0
10,199,-2.0,-1.0,,,-11.0,,-21.0,10.0,44.0,-17.0,-9.0,1.0
11,200,0.0,13.0,,-35.0,-58.0,11.0,1.0,16.0,103.0,-25.0,-40.0,10.0
12,201,9.0,19.0,,-37.0,-55.0,11.0,2.0,18.0,108.0,-30.0,-39.0,10.0
13,202,-7.0,15.0,,-35.0,-53.0,11.0,3.0,18.0,99.0,-32.0,-37.0,9.0
14,203,-5.0,16.0,,-34.0,-52.0,11.0,1.0,19.0,109.0,-34.0,-37.0,10.0
15,204,-14.0,7.0,,-32.0,-49.0,10.0,-7.0,13.0,127.0,-18.0,-37.0,7.0
16,205,-8.0,12.0,,-13.0,-5.0,,-17.0,7.0,126.0,-1.0,-10.0,1.0
17,206,2.0,2.0,,,-12.0,,-8.0,8.0,61.0,-15.0,-2.0,1.0
18,207,11.0,18.0,,-30.0,-50.0,10.0,12.0,19.0,142.0,-20.0,-47.0,9.0
19,208,6.0,21.0,,-35.0,-52.0,12.0,16.0,19.0,146.0,-27.0,-45.0,10.0
20,209,2.0,15.0,,-35.0,-52.0,12.0,10.0,12.0,81.0,-27.0,-44.0,11.0
21,210,3.0,15.0,,-25.0,-51.0,13.0,14.0,19.0,126.0,-24.0,-44.0,10.0
22,211,-6.0,7.0,,-28.0,-48.0,11.0,-4.0,5.0,23.0,-21.0,-45.0,10.0
23,212,-5.0,10.0,,-10.0,-1.0,,-11.0,8.0,31.0,-9.0,-9.0,2.0
24,213,3.0,1.0,,,-4.0,,-5.0,10.0,78.0,-9.0,-9.0,1.0
25,214,11.0,19.0,,-34.0,-51.0,10.0,19.0,18.0,151.0,-18.0,-48.0,9.0
26,215,4.0,16.0,,-39.0,-51.0,12.0,20.0,19.0,177.0,-25.0,-47.0,9.0
27,216,-1.0,15.0,,-28.0,-52.0,11.0,11.0,11.0,115.0,-28.0,-45.0,10.0
28,217,3.0,15.0,,-30.0,-51.0,13.0,14.0,18.0,122.0,-28.0,-45.0,10.0
29,218,-7.0,7.0,,-36.0,-47.0,11.0,0.0,10.0,51.0,-21.0,-46.0,10.0
30,219,-5.0,6.0,,-18.0,-2.0,,-13.0,4.0,32.0,-10.0,-14.0,2.0
31,220,-2.0,-7.0,,,-12.0,,-4.0,9.0,71.0,-11.0,-10.0,1.0
32,221,4.0,13.0,,-36.0,-49.0,11.0,17.0,17.0,152.0,-17.0,-47.0,9.0
33,222,11.0,18.0,,-32.0,-49.0,10.0,20.0,18.0,172.0,-25.0,-47.0,9.0
34,223,-1.0,14.0,,-40.0,-49.0,12.0,13.0,9.0,147.0,-22.0,-45.0,9.0
35,224,3.0,15.0,,-29.0,-47.0,11.0,11.0,10.0,148.0,-21.0,-45.0,9.0
36,225,-6.0,9.0,,-31.0,-43.0,10.0,-3.0,6.0,88.0,-14.0,-46.0,8.0
37,226,-1.0,11.0,,-6.0,-1.0,,-15.0,-1.0,40.0,-8.0,-15.0,1.0
38,227,5.0,4.0,,,-9.0,,-7.0,4.0,63.0,-10.0,-10.0,1.0
39,228,12.0,23.0,,-26.0,-42.0,10.0,16.0,12.0,149.0,-14.0,-48.0,9.0
40,229,16.0,28.0,,-30.0,-44.0,11.0,20.0,14.0,151.0,-19.0,-48.0,9.0
41,230,1.0,19.0,,-21.0,-39.0,10.0,14.0,8.0,235.0,-12.0,-45.0,9.0
42,231,7.0,23.0,,-20.0,-37.0,10.0,15.0,11.0,,-10.0,-45.0,9.0
43,232,0.0,14.0,,-20.0,-33.0,9.0,1.0,6.0,167.0,0.0,-46.0,7.0
44,233,-6.0,9.0,,-8.0,-5.0,,-15.0,-1.0,81.0,11.0,-14.0,3.0
45,234,6.0,1.0,,,-6.0,,-4.0,8.0,53.0,-4.0,-9.0,1.0
46,235,11.0,20.0,,-21.0,-35.0,10.0,22.0,15.0,162.0,-12.0,-48.0,8.0
47,236,4.0,23.0,,-25.0,-39.0,10.0,21.0,16.0,170.0,-17.0,-47.0,9.0
48,237,0.0,22.0,,-24.0,-40.0,10.0,19.0,14.0,143.0,-18.0,-46.0,8.0
49,238,5.0,21.0,,-26.0,-38.0,10.0,22.0,17.0,146.0,-21.0,-46.0,9.0
50,239,3.0,17.0,,-24.0,-35.0,8.0,5.0,13.0,108.0,-12.0,-48.0,7.0
51,240,1.0,15.0,,-7.0,-6.0,,-10.0,5.0,121.0,1.0,-14.0,-1.0
52,241,5.0,-1.0,,,-12.0,,4.0,7.0,126.0,-2.0,-10.0,0.0
53,242,13.0,20.0,,-30.0,-41.0,10.0,30.0,5.0,,-14.0,-74.0,12.0
54,243,5.0,21.0,,-29.0,-38.0,11.0,22.0,23.0,108.0,-22.0,-48.0,9.0
55,244,3.0,17.0,,-21.0,-39.0,10.0,13.0,13.0,98.0,-27.0,-45.0,9.0
56,245,8.0,22.0,,-24.0,-38.0,11.0,11.0,12.0,109.0,-27.0,-44.0,9.0
57,246,3.0,16.0,,-18.0,-34.0,9.0,-2.0,7.0,45.0,-17.0,-45.0,7.0
58,247,-2.0,9.0,,-4.0,-3.0,,-10.0,6.0,33.0,-10.0,-14.0,1.0
59,248,10.0,3.0,,,-8.0,,-6.0,9.0,121.0,-4.0,-8.0,0.0
60,249,7.0,14.0,,-24.0,-37.0,11.0,13.0,15.0,106.0,-17.0,-43.0,8.0
61,250,4.0,18.0,,-27.0,-39.0,10.0,11.0,15.0,114.0,-26.0,-41.0,8.0
62,251,3.0,17.0,,-24.0,-40.0,11.0,1.0,11.0,88.0,-24.0,-38.0,7.0
63,252,-1.0,16.0,,-24.0,-38.0,12.0,3.0,12.0,81.0,-23.0,-36.0,8.0
64,253,0.0,17.0,,-21.0,-33.0,10.0,-7.0,9.0,49.0,-13.0,-37.0,6.0
65,254,-1.0,10.0,,-6.0,-5.0,,-10.0,7.0,43.0,-3.0,-12.0,1.0
66,255,6.0,5.0,,,-10.0,,-5.0,10.0,53.0,1.0,-14.0,0.0
67,256,5.0,19.0,,-23.0,-37.0,10.0,4.0,14.0,77.0,-18.0,-39.0,8.0
68,257,-4.0,19.0,,-33.0,-40.0,12.0,6.0,10.0,65.0,-23.0,-39.0,9.0
69,258,4.0,20.0,,-22.0,-39.0,10.0,4.0,12.0,81.0,-25.0,-37.0,7.0
70,259,5.0,17.0,,-23.0,-39.0,10.0,4.0,11.0,103.0,-22.0,-38.0,7.0
